year,month,return_pct
2020,1,3.693689334709349
2020,2,3.703513038234907
2020,3,-9.627478185903826
2020,4,-4.930056243503089
2020,5,0.7088501129209224
2020,6,1.6522601673659931
2020,7,1.5452619965153236
2020,8,0.6325599984990937
2020,9,-3.8825276670680253
2020,10,1.7577675250456393
2020,11,0.3894348807098602
2020,12,7.7863089522278495
2021,1,7.174954319572802
2021,2,3.6078372642042833
2021,3,2.887832386726785
2021,4,0.46006924385992853
2021,5,1.0171873601969583
2021,6,-1.1459266137888058
2021,7,-0.7628229200329684
2021,8,-3.213267555375543
2021,9,4.7557800259876215
2021,10,0.25694851845561306
2021,11,0.18082621206569893
2021,12,-2.3543245564312643
2022,1,5.028593402900494
2022,2,2.6347950005281673
2022,3,-5.475923072471245
2022,4,5.080537407859054
2022,5,0.8510810020882387
2022,6,3.6133845472260617
2022,7,-4.745337182607356
2022,8,-0.8195899199842871
2022,9,1.8082059596518762
2022,10,-1.5205551012695162
2022,11,-1.3224912168477876
2022,12,3.761795824007419
2023,1,-6.249965420065829
2023,2,-1.0422278397489104
2023,3,-0.6715543504591359
2023,4,0.6189892458803525
2023,5,2.036795536850855
2023,6,-2.6060345646864547
2023,7,1.119421333020476
2023,8,0.45755074064808277
2023,9,-0.48770252862425645
2023,10,1.2287321584281141
2023,11,-4.749378301864304
2023,12,-2.1669277002405063
2024,1,1.8141181297659736
2024,2,4.467853892881446
2024,3,2.69088433502509
2024,4,0.9009405158932449
2024,5,-2.1836032448817266
2024,6,-1.7405715626677254
2024,7,-1.3147652721893444
2024,8,-0.3822907348578708
2024,9,-2.7305610884444054
2024,10,0.47822446330267887
2024,11,-0.8457059770974551
2024,12,-1.0248500823414886
2025,1,0.24396381196740702
2025,2,1.180575585334731
2025,3,2.8433906033006773
2025,4,-0.49535223744856527
2025,5,-5.252629684799103
2025,6,0.8354831788781159
2025,7,0.6657334810944437
2025,8,-1.645976866881782
2025,9,-0.06887546780558473
2025,10,0.5984602513304349
2025,11,0.6604425379165724
