date,prev_regime,regime,score
2015-01-02,,NEUTRAL_BULLISH,0.1
2015-01-06,NEUTRAL_BULLISH,NEUTRAL_BEARISH,-0.1
2015-01-07,NEUTRAL_BEARISH,NEUTRAL_BULLISH,0.1
2015-01-13,NEUTRAL_BULLISH,NEUTRAL_BEARISH,-0.1
2015-01-20,NEUTRAL_BEARISH,NEUTRAL_BULLISH,0.1
2015-01-22,NEUTRAL_BULLISH,NEUTRAL_BEARISH,0.02423409423440509
2015-01-26,NEUTRAL_BEARISH,BULL_WEAK,0.20171549522445403
2015-01-27,BULL_WEAK,NEUTRAL_BULLISH,0.07491913246687415
2015-01-28,NEUTRAL_BULLISH,BEAR_WEAK,-0.24875901839165918
2015-01-29,BEAR_WEAK,NEUTRAL_BEARISH,0.04782212000792072
2015-01-30,NEUTRAL_BEARISH,BEAR_WEAK,-0.224680768371394
2015-02-02,BEAR_WEAK,NEUTRAL_BULLISH,0.0666280507355209
2015-02-03,NEUTRAL_BULLISH,BULL_WEAK,0.1642985911716312
2015-02-13,BULL_WEAK,BULL_STRONG,0.37331399329138315
2015-03-06,BULL_STRONG,BULL_WEAK,0.234379831879124
2015-03-10,BULL_WEAK,NEUTRAL_BULLISH,0.14153047692698054
2015-03-12,NEUTRAL_BULLISH,BULL_WEAK,0.16670994513621246
2015-03-18,BULL_WEAK,BULL_STRONG,0.3443461225867455
2015-03-25,BULL_STRONG,NEUTRAL_BULLISH,0.12801624372268505
2015-03-30,NEUTRAL_BULLISH,BULL_STRONG,0.3469147795231333
2015-03-31,BULL_STRONG,BULL_WEAK,0.2523064644972971
2015-04-02,BULL_WEAK,BULL_STRONG,0.33079155035002383
2015-04-06,BULL_STRONG,BULL_WEAK,0.26407868627032133
2015-04-10,BULL_WEAK,BULL_STRONG,0.30210733604194495
2015-04-13,BULL_STRONG,BULL_WEAK,0.25436870894102337
2015-04-15,BULL_WEAK,BULL_STRONG,0.3017151633556508
2015-04-16,BULL_STRONG,BULL_WEAK,0.29692303622426497
2015-04-24,BULL_WEAK,BULL_STRONG,0.3123765694171681
2015-04-27,BULL_STRONG,BULL_WEAK,0.26489326899109716
2015-05-06,BULL_WEAK,NEUTRAL_BULLISH,0.08781752758411371
2015-05-08,NEUTRAL_BULLISH,BULL_WEAK,0.2808267017448883
2015-05-27,BULL_WEAK,BULL_STRONG,0.3326123195010313
2015-05-29,BULL_STRONG,BULL_WEAK,0.24919867491549502
2015-06-08,BULL_WEAK,NEUTRAL_BULLISH,0.09849639291929084
2015-06-09,NEUTRAL_BULLISH,BULL_WEAK,0.1876195961506264
2015-06-15,BULL_WEAK,NEUTRAL_BULLISH,0.09553070703221492
2015-06-16,NEUTRAL_BULLISH,BULL_WEAK,0.23036704345410214
2015-06-29,BULL_WEAK,NEUTRAL_BULLISH,0.07347949160614049
2015-07-08,NEUTRAL_BULLISH,NEUTRAL_BEARISH,-0.006776374994860945
2015-07-10,NEUTRAL_BEARISH,NEUTRAL_BULLISH,0.07867895665192981
2015-07-13,NEUTRAL_BULLISH,BULL_WEAK,0.1950172822164607
2015-07-20,BULL_WEAK,BULL_STRONG,0.3258416566814367
2015-07-21,BULL_STRONG,BULL_WEAK,0.29920517527990065
2015-07-27,BULL_WEAK,NEUTRAL_BULLISH,0.07075048388469388
2015-07-28,NEUTRAL_BULLISH,BULL_WEAK,0.26344395941255466
2015-08-06,BULL_WEAK,NEUTRAL_BULLISH,0.1381198171684486
2015-08-13,NEUTRAL_BULLISH,BULL_WEAK,0.15328449642022776
2015-08-18,BULL_WEAK,NEUTRAL_BULLISH,0.13873168888618229
2015-08-19,NEUTRAL_BULLISH,NEUTRAL_BEARISH,-0.009857307714602359
2015-08-20,NEUTRAL_BEARISH,BEAR_WEAK,-0.11503939975247672
2015-08-21,BEAR_WEAK,BEAR_STRONG,-0.4500428211004566
2015-08-24,BEAR_STRONG,CRISIS,-0.6423303224921693
2015-08-26,CRISIS,BEAR_STRONG,-0.48759121628289886
2015-08-28,BEAR_STRONG,BEAR_WEAK,-0.2459041979378635
2015-08-31,BEAR_WEAK,BEAR_STRONG,-0.29746346837689586
2015-09-01,BEAR_STRONG,CRISIS,-0.5017817888974262
2015-09-02,CRISIS,BEAR_STRONG,-0.3159078526378268
2015-09-09,BEAR_STRONG,BEAR_WEAK,-0.23174063663934266
2015-09-18,BEAR_WEAK,BEAR_STRONG,-0.27090714119763265
2015-09-21,BEAR_STRONG,BEAR_WEAK,-0.14979211403245857
2015-09-24,BEAR_WEAK,BEAR_STRONG,-0.25252802319969503
2015-10-05,BEAR_STRONG,NEUTRAL_BEARISH,-0.054826947524753124
2015-10-08,NEUTRAL_BEARISH,NEUTRAL_BULLISH,0.056591625652660474
2015-10-09,NEUTRAL_BULLISH,NEUTRAL_BEARISH,0.030113969320601394
2015-10-12,NEUTRAL_BEARISH,NEUTRAL_BULLISH,0.07536081957068637
2015-10-13,NEUTRAL_BULLISH,NEUTRAL_BEARISH,0.037939737562672445
2015-10-15,NEUTRAL_BEARISH,NEUTRAL_BULLISH,0.10280237881064877
2015-10-19,NEUTRAL_BULLISH,BULL_STRONG,0.3813231516297103
2015-10-20,BULL_STRONG,BULL_WEAK,0.2873149543563208
2015-10-22,BULL_WEAK,BULL_STRONG,0.4005566239753943
2015-10-26,BULL_STRONG,BULL_WEAK,0.27083885706009
2015-10-28,BULL_WEAK,BULL_STRONG,0.3687341545441635
2015-10-30,BULL_STRONG,BULL_WEAK,0.27048476445752706
2015-11-02,BULL_WEAK,BULL_STRONG,0.45481797532145346
2015-11-09,BULL_STRONG,BULL_WEAK,0.29941693462661156
2015-11-10,BULL_WEAK,BULL_STRONG,0.3070982150271799
2015-11-11,BULL_STRONG,BULL_WEAK,0.2636860098882128
2015-11-13,BULL_WEAK,NEUTRAL_BEARISH,-0.07245072307417152
2015-11-16,NEUTRAL_BEARISH,BULL_WEAK,0.16318670345947303
2015-11-27,BULL_WEAK,BULL_STRONG,0.311151203559603
2015-11-30,BULL_STRONG,BULL_WEAK,0.29837244679242003
2015-12-01,BULL_WEAK,BULL_STRONG,0.42227517517360713
2015-12-03,BULL_STRONG,BULL_WEAK,0.2973446942625655
2015-12-04,BULL_WEAK,BULL_STRONG,0.4003315979629077
2015-12-07,BULL_STRONG,BULL_WEAK,0.20268617984149295
2015-12-08,BULL_WEAK,NEUTRAL_BULLISH,0.14295043040621036
2015-12-11,NEUTRAL_BULLISH,BEAR_WEAK,-0.19367836619292206
2015-12-16,BEAR_WEAK,NEUTRAL_BULLISH,0.11351916771514822
2015-12-17,NEUTRAL_BULLISH,NEUTRAL_BEARISH,0.04825821417900434
2015-12-18,NEUTRAL_BEARISH,BEAR_WEAK,-0.23874698107892844
2015-12-21,BEAR_WEAK,NEUTRAL_BEARISH,-0.03458995265477674
2015-12-23,NEUTRAL_BEARISH,NEUTRAL_BULLISH,0.07393301099146381
2015-12-24,NEUTRAL_BULLISH,NEUTRAL_BEARISH,0.04638701494992067
2015-12-28,NEUTRAL_BEARISH,NEUTRAL_BULLISH,0.05080665850098334
2016-01-04,NEUTRAL_BULLISH,BEAR_WEAK,-0.23969408524686767
2016-01-05,BEAR_WEAK,NEUTRAL_BEARISH,-0.06808245949890478
2016-01-06,NEUTRAL_BEARISH,BEAR_STRONG,-0.3010042675659949
2016-01-15,BEAR_STRONG,CRISIS,-0.5139006048325954
2016-01-22,CRISIS,BEAR_STRONG,-0.4826361922700554
2016-01-25,BEAR_STRONG,CRISIS,-0.5131464170142251
2016-01-26,CRISIS,BEAR_STRONG,-0.4537698411732657
2016-02-01,BEAR_STRONG,BEAR_WEAK,-0.13678441753267595
2016-02-02,BEAR_WEAK,BEAR_STRONG,-0.3638579644742604
2016-02-11,BEAR_STRONG,CRISIS,-0.5395765276811725
2016-02-12,CRISIS,BEAR_STRONG,-0.4698969121391348
2016-02-22,BEAR_STRONG,BEAR_WEAK,-0.10552061257956065
2016-02-23,BEAR_WEAK,BEAR_STRONG,-0.3600965283763198
2016-02-25,BEAR_STRONG,NEUTRAL_BEARISH,-0.030299407917057583
2016-02-29,NEUTRAL_BEARISH,BEAR_WEAK,-0.16923922397376834
2016-03-01,BEAR_WEAK,BULL_WEAK,0.15700740239451383
2016-03-11,BULL_WEAK,BULL_STRONG,0.30555770425013457
2016-03-28,BULL_STRONG,BULL_WEAK,0.2885416176175062
