year,return_pct,volatility,sharpe,max_dd,best_day,worst_day,num_trades,win_rate
2007,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2008,-23.9660764536194,24.837200885383567,-0.9943391154680629,-38.09636445565967,4.525129280737672,-4.895732887358683,49,24.489795918367346
2009,51.72682725011801,34.52634194570821,1.4313481151948497,-25.178330114744067,10.822852744030719,-9.641109590302953,31,41.935483870967744
2010,37.79409953924655,20.298453401006654,1.7740773048709526,-12.894874515798236,8.846371002728937,-4.007819650572819,27,40.74074074074074
2011,-12.847014845888506,16.393129344334216,-0.6702944048898033,-20.786158866731185,2.9259406927536036,-4.890186278211961,30,46.666666666666664
2012,31.860768263783612,11.632020767071547,2.564812936700356,-5.714079761929348,2.514944058702584,-2.21663696236738,5,60.0
2013,48.0664385454717,13.361594820464504,3.1694647758127474,-4.014363528387635,4.508302157724509,-2.480590425715423,28,50.0
2014,19.239060510030082,11.991960376993472,1.4896639634907614,-8.131085696121659,2.326741513978825,-2.7396811166468304,22,27.27272727272727
2015,4.935021274251494,10.145748272920919,0.5209301884533594,-7.03197479320796,1.6035317949289585,-2.1897671883311487,10,40.0
2016,19.565474359748137,12.05108209352134,1.4343347665462296,-6.0003932150593595,2.7572789948506093,-4.1403900278001675,13,38.46153846153847
2017,26.839576397058384,7.727694981787388,3.2568195072935953,-2.751643931371883,1.8761484070782597,-1.5145938262369874,10,50.0
2018,-6.077445650043756,12.810398940379136,-0.40186715790496996,-16.93043072962544,2.8729713883876906,-2.686170018700773,26,30.76923076923077
2019,32.31332783566791,12.625192340469427,2.278020086218586,-6.8205247211507505,6.374535264491232,-2.0991486062735487,29,44.827586206896555
2020,13.853021072764914,18.359973987809493,0.8871062560631207,-17.072204640036805,3.1381681602479006,-5.540262989852662,61,39.34426229508197
2021,19.721814382337378,14.320802857661604,1.2912018161442724,-7.401783904883756,3.696730878755905,-2.7728333352796675,43,37.2093023255814
2022,-6.849049648831784,15.395693555010158,-0.3501848033157147,-11.169912565575508,3.238777875347898,-2.503513675232971,39,25.64102564102564
2023,22.428174659557264,12.01348839886208,1.7302798856114117,-8.443147095385813,2.0377182312939057,-2.256536729165448,75,36.0
2024,18.06594818578795,9.68301157435683,1.712263680506314,-6.167013188206775,2.4569322782870273,-1.9139998727160767,115,38.26086956521739
2025,0.18129516098817078,8.339309943253408,0.059768279931509675,-11.65171786889892,1.7738036426502735,-1.973575405401795,119,30.252100840336134
