date,regime,score,prev_regime
2007-07-03,BULL_WEAK,0.0,NEUTRAL_BULLISH
2007-07-27,NEUTRAL_BULLISH,0.0,BULL_WEAK
2007-09-13,BULL_WEAK,0.0,NEUTRAL_BULLISH
2007-09-20,NEUTRAL_BULLISH,0.0,BULL_WEAK
2007-09-24,BULL_WEAK,0.0,NEUTRAL_BULLISH
2007-11-07,NEUTRAL_BULLISH,0.0,BULL_WEAK
2007-12-21,BULL_WEAK,0.0,NEUTRAL_BULLISH
2007-12-26,NEUTRAL_BULLISH,0.0,BULL_WEAK
2008-01-22,NEUTRAL_BEARISH,0.0,NEUTRAL_BULLISH
2008-01-29,NEUTRAL_BULLISH,0.0,NEUTRAL_BEARISH
2008-03-19,NEUTRAL_BEARISH,0.0,NEUTRAL_BULLISH
2008-03-20,NEUTRAL_BULLISH,0.0,NEUTRAL_BEARISH
2008-04-01,NEUTRAL_BEARISH,0.0,NEUTRAL_BULLISH
2008-04-04,NEUTRAL_BULLISH,0.0,NEUTRAL_BEARISH
2008-04-16,BULL_WEAK,0.0,NEUTRAL_BULLISH
2008-06-24,NEUTRAL_BULLISH,0.0,BULL_WEAK
2008-08-11,BULL_WEAK,0.0,NEUTRAL_BULLISH
2008-08-12,NEUTRAL_BULLISH,0.0,BULL_WEAK
2008-08-14,BULL_WEAK,0.0,NEUTRAL_BULLISH
2008-08-15,NEUTRAL_BULLISH,0.0,BULL_WEAK
2008-09-17,NEUTRAL_BEARISH,0.0,NEUTRAL_BULLISH
2008-10-06,BEAR_WEAK,0.0,NEUTRAL_BEARISH
2008-10-09,BEAR_STRONG,0.0,BEAR_WEAK
2008-10-10,BEAR_WEAK,0.0,BEAR_STRONG
2008-10-22,BEAR_STRONG,0.0,BEAR_WEAK
2008-10-29,BEAR_WEAK,0.0,BEAR_STRONG
2008-11-04,NEUTRAL_BEARISH,0.0,BEAR_WEAK
2008-11-05,BEAR_WEAK,0.0,NEUTRAL_BEARISH
2008-11-19,BEAR_STRONG,0.0,BEAR_WEAK
2008-12-08,BEAR_WEAK,0.0,BEAR_STRONG
2008-12-09,BEAR_STRONG,0.0,BEAR_WEAK
