date,total_value,cash,positions_value,num_positions,regime,peak_value,drawdown,exposure_pct,daily_return
2011-10-28,151678.13602754817,64046.27587053523,87631.86015701294,8,BULL_WEAK,179244.33355191292,-15.379117977183366,57.77487939401959,0.0046483263520067375
2011-10-31,148405.92105147586,64046.27587053523,84359.64518094063,8,BULL_WEAK,179244.33355191292,-17.20467916019538,56.8438540613752,-0.02157341237024435
2011-11-01,146196.0689896462,63848.21900261617,82347.84998703003,8,NEUTRAL_BULLISH,179244.33355191292,-18.437550525241697,56.32699330162018,-0.014890592276726844
2011-11-02,147336.37103689887,63848.21900261617,83488.15203428268,8,NEUTRAL_BULLISH,179244.33355191292,-17.801378644850065,56.664998225980426,0.00779981332694657
2011-11-03,151544.20311411872,67686.57675322545,83857.62636089325,8,NEUTRAL_BULLISH,179244.33355191292,-15.453838840473955,55.3354233535051,0.02855935739157056
2011-11-04,152679.69967040076,67686.57675322545,84993.1229171753,8,NEUTRAL_BULLISH,179244.33355191292,-14.820347932403944,55.66759896741693,0.007492840590061833
2011-11-07,152436.98917540564,67686.57675322545,84750.41242218018,8,NEUTRAL_BULLISH,179244.33355191292,-14.9557555573958,55.59701282518764,-0.0015896710271180448
2011-11-08,153502.34223326697,67686.57675322545,85815.7654800415,8,NEUTRAL_BULLISH,179244.33355191292,-14.361397545206378,55.90518309462221,0.006988809367229454
2011-11-09,149753.24449743883,92082.45611300129,57670.78838443756,6,NEUTRAL_BEARISH,179244.33355191292,-16.453010519260204,38.51054351308154,-0.0244237168064243
2011-11-10,150175.65277685778,92082.45611300129,58093.196663856506,6,NEUTRAL_BEARISH,179244.33355191292,-16.217349915073463,38.68349868282293,0.002820695343439983
2011-11-11,151555.54422106402,92082.45611300129,59473.088108062744,6,NEUTRAL_BULLISH,179244.33355191292,-15.44751166308398,39.24177661314276,0.009188516371935407
2011-11-14,151236.73934282915,92082.45611300129,59154.28322982787,6,NEUTRAL_BULLISH,179244.33355191292,-15.625372168862551,39.11369914934142,-0.002103551406670068
2011-11-15,151963.05621065752,92082.45611300129,59880.60009765624,6,NEUTRAL_BULLISH,179244.33355191292,-15.22016166461082,39.40470900680443,0.004802516048576733
2011-11-16,151883.70482554095,92082.45611300129,59801.24871253967,6,NEUTRAL_BULLISH,179244.33355191292,-15.264431619227592,39.37305109934573,-0.0005221755016994178
2011-11-17,150803.6147166695,92082.45611300129,58721.15860366821,6,NEUTRAL_BEARISH,179244.33355191292,-15.867011398163056,38.93882697307607,-0.007111296831428304
2011-11-18,149784.89884867327,92082.45611300129,57702.442735672,6,NEUTRAL_BULLISH,179244.33355191292,-16.43535062976347,38.52353820659078,-0.006755248340102327
2011-11-21,148431.99410452502,92082.45611300129,56349.53799152374,6,NEUTRAL_BULLISH,179244.33355191292,-17.190133064074796,37.963202159665585,-0.009032317373429466
2011-11-22,148216.48852266924,92082.45611300129,56134.03240966797,6,NEUTRAL_BULLISH,179244.33355191292,-17.310363130814043,37.87300115471461,-0.001451880931438665
2011-11-23,146750.94878019945,92082.45611300129,54668.49266719818,6,NEUTRAL_BEARISH,179244.33355191292,-18.127984370731976,37.2525650577425,-0.009887832029198518
2011-11-25,146851.13045420306,92082.45611300129,54768.67434120178,6,NEUTRAL_BULLISH,179244.33355191292,-18.072093246020582,37.2953712864212,0.0006826645744801851
2011-11-28,148809.2221642937,92082.45611300129,56726.76605129242,6,NEUTRAL_BULLISH,179244.33355191292,-16.97967840015683,38.120464058781856,0.013333855204480605
2011-11-29,148536.98010363238,92082.45611300129,56454.5239906311,6,NEUTRAL_BULLISH,179244.33355191292,-17.13156161747621,38.00704979409403,-0.0018294703560828296
2011-11-30,151450.57218756335,92082.45611300129,59368.11607456207,6,NEUTRAL_BULLISH,179244.33355191292,-15.506075318302837,39.199664429816664,0.019615264036593416
2011-12-01,151186.31487523945,67831.79336225423,83354.52151298523,8,NEUTRAL_BULLISH,179244.33355191292,-15.653503862953233,55.13364194488785,-0.0017448419540906368
2011-12-02,151898.10526811512,67831.79336225423,84066.3119058609,8,NEUTRAL_BULLISH,179244.33355191292,-15.2563976455511,55.34388447931959,0.004708034543093653
2011-12-05,154177.6685520354,67831.79336225423,86345.87518978119,8,NEUTRAL_BULLISH,179244.33355191292,-13.984634550591068,56.004138602367824,0.015007187087005658
2011-12-06,154272.6110683623,67831.79336225423,86440.8177061081,8,NEUTRAL_BULLISH,179244.33355191292,-13.931666339855742,56.03121455421783,0.000615799403496986
2011-12-07,154837.8782278243,67831.79336225423,87006.08486557007,8,NEUTRAL_BULLISH,179244.33355191292,-13.616305096205462,56.19173154617351,0.0036640798100675553
2011-12-08,151447.53217279346,67831.79336225423,83615.73881053925,8,NEUTRAL_BULLISH,179244.33355191292,-15.507771335526721,55.211027615252384,-0.02189610251596419
2011-12-09,153174.46528684528,67831.79336225423,85342.67192459106,8,NEUTRAL_BULLISH,179244.33355191292,-14.544319336888412,55.71599141199701,0.011402847502866464
2011-12-12,151012.12497960957,67831.79336225423,83180.33161735535,8,NEUTRAL_BULLISH,179244.33355191292,-15.750684003701975,55.0818893705302,-0.01411684580185324
2011-12-13,148904.13049375446,67831.79336225423,81072.33713150024,8,NEUTRAL_BULLISH,179244.33355191292,-16.926729262195227,54.44599613366715,-0.013959107496432699
2011-12-14,147757.84912263782,67831.79336225423,79926.0557603836,8,NEUTRAL_BULLISH,179244.33355191292,-17.566236993570538,54.09259557781301,-0.007698116682966827
2011-12-15,147780.01247465046,67831.79336225423,79948.21911239624,8,NEUTRAL_BULLISH,179244.33355191292,-17.553872110634806,54.09948055465905,0.00014999779804747426
2011-12-16,148216.90132104786,67831.79336225423,80385.10795879364,8,NEUTRAL_BULLISH,179244.33355191292,-17.31013283155133,54.23477838379177,0.0029563459840169504
2011-12-19,146134.29051744373,67831.79336225423,78302.49715518951,8,NEUTRAL_BULLISH,179244.33355191292,-18.472016592301266,53.582562229528676,-0.014051102033856733
2011-12-20,149207.93899150382,55881.28458829413,93326.65440320969,9,BULL_WEAK,179244.33355191292,-16.757235202478483,62.54804873923222,0.021033040658538615
2011-12-21,144658.33069320212,55881.28458829413,88777.04610490799,9,BULL_WEAK,179244.33355191292,-19.295451171790578,61.37015799884372,-0.030491730728622657
2011-12-22,146809.72561831962,55881.28458829413,90928.44103002548,9,BULL_WEAK,179244.33355191292,-18.095192908399284,61.93625159849696,0.014872250459465608
2011-12-23,147180.06670375357,55881.28458829413,91298.78211545944,9,BULL_WEAK,179244.33355191292,-17.888580471567796,62.032029309530834,0.002522592313787042
2011-12-27,146652.40852208625,55881.28458829413,90771.12393379211,9,BULL_WEAK,179244.33355191292,-18.182959753306438,61.895419821981136,-0.003585119870406106
2011-12-28,144837.90589519034,55881.28458829413,88956.62130689621,9,BULL_WEAK,179244.33355191292,-19.195266581053595,61.418052654854215,-0.012372811637953007
2011-12-29,145582.01610799323,55881.28458829413,89700.7315196991,9,BULL_WEAK,179244.33355191292,-18.780129210706885,61.61525572853641,0.005137537775099732
2011-12-30,145023.4119247962,55881.28458829413,89142.12733650208,9,BULL_WEAK,179244.33355191292,-19.09177319527683,61.467404575150866,-0.003837041127268459
2012-01-03,146855.25079944514,44106.30589893246,102748.9449005127,10,BULL_WEAK,179244.33355191292,-18.069794514919614,69.96613627444155,0.012631332074843682
2012-01-04,146650.25641086482,44106.30589893246,102543.95051193237,10,BULL_WEAK,179244.33355191292,-18.184160411189886,69.92415357572824,-0.0013958941710587869
2012-01-05,147930.70976236247,44106.30589893246,103824.40386343002,10,BULL_WEAK,179244.33355191292,-17.469798441623464,70.18448301249597,0.008731340693399536
2012-01-06,148236.7852967062,44106.30589893246,104130.47939777374,10,BULL_WEAK,179244.33355191292,-17.29903960742295,70.24604533169642,0.002069046615374104
2012-01-09,148647.1006262579,44106.30589893246,104540.79472732544,10,BULL_WEAK,179244.33355191292,-17.07012563205711,70.32817612108792,0.002767972394506657
2012-01-10,150427.10167911433,44106.30589893246,106320.79578018188,10,BULL_WEAK,179244.33355191292,-16.077067152838342,70.67928225259672,0.01197467724131318
2012-01-11,151067.88914325618,44106.30589893246,106961.58324432373,10,BULL_WEAK,179244.33355191292,-15.719573305504941,70.80365248427687,0.0042597873454262025
2012-01-12,151806.35139825725,44106.30589893246,107700.0454993248,10,BULL_WEAK,179244.33355191292,-15.307586917780613,70.94567816650735,0.004888280753700069
2012-01-13,151108.01465490245,44106.30589893246,107001.70875597,10,BULL_WEAK,179244.33355191292,-15.697187375165534,70.81140533831936,-0.004600181329190489
2012-01-17,151263.13068845653,44106.30589893246,107156.82478952408,10,BULL_WEAK,179244.33355191292,-15.610648498047187,70.84133741104807,0.0010265241979938722
2012-01-18,153532.2364108839,44106.30589893246,109425.93051195145,10,BULL_WEAK,179244.33355191292,-14.34471965250843,71.2722833132614,0.01500104957566184
2012-01-19,154676.7613833227,44106.30589893246,110570.45548439026,10,BULL_WEAK,179244.33355191292,-13.70619181190178,71.4848529898894,0.007454623206137878
2012-01-20,155388.86807182216,44106.30589893246,111282.56217288971,10,BULL_WEAK,179244.33355191292,-13.308909133901137,71.61553047767481,0.004603837590927418
2012-01-23,156367.4044773855,44106.30589893246,112261.09857845306,10,BULL_WEAK,179244.33355191292,-12.762985931659465,71.7931585253682,0.0062973391704679305
2012-01-24,157493.0880644598,44106.30589893246,113386.78216552734,10,BULL_WEAK,179244.33355191292,-12.134969656462536,71.99476723646416,0.007198965736091578
2012-01-25,158292.1683571615,44106.30589893246,114185.86245822906,10,BULL_WEAK,179244.33355191292,-11.689164605408974,72.13614144231477,0.005073748330940431
2012-01-26,158073.88718059444,44106.30589893246,113967.58128166199,10,BULL_WEAK,179244.33355191292,-11.810943170031695,72.09766477840684,-0.0013789764764265966
2012-01-27,159398.92469814204,44106.30589893246,115292.6187992096,10,BULL_WEAK,179244.33355191292,-11.07170779712443,72.329608883838,0.008382393456509263
2012-01-30,158645.71930435085,44106.30589893246,114539.4134054184,10,BULL_WEAK,179244.33355191292,-11.491919347953218,72.19823762510885,-0.004725285287950132
2012-01-31,159267.0297568121,44106.30589893246,115160.72385787964,10,BULL_WEAK,179244.33355191292,-11.14529168048427,72.30669400548297,0.0039163392191459145
2012-02-01,161853.39061859035,44106.30589893246,117747.0847196579,10,BULL_WEAK,179244.33355191292,-9.702366924913575,72.74922339880445,0.016239147962559652
2012-02-02,162582.6005404272,44106.30589893246,118476.29464149475,10,BULL_WEAK,179244.33355191292,-9.29554239250756,72.87144765041131,0.0045053731593134305
2012-02-03,165550.0079634466,44106.30589893246,121443.70206451416,10,BULL_WEAK,179244.33355191292,-7.64003263986035,73.35771442024267,0.018251691221297328
2012-02-06,163858.8837769308,44106.30589893246,119752.57787799835,10,BULL_WEAK,179244.33355191292,-8.583506920471862,73.08274969151105,-0.010215186379750607
2012-02-07,164482.0871289053,44106.30589893246,120375.78122997284,10,BULL_WEAK,179244.33355191292,-8.235823208733217,73.18473599841533,0.0038032930385567543
2012-02-08,164864.02063205623,44106.30589893246,120757.71473312378,10,BULL_WEAK,179244.33355191292,-8.022743388812259,73.24685778629106,0.002322037066879057
2012-02-09,165432.7483952322,44106.30589893246,121326.44249629974,10,BULL_WEAK,179244.33355191292,-7.705451482336878,73.3388302335648,0.0034496778678305695
2012-02-10,164390.30868461513,44106.30589893246,120284.00278568268,10,BULL_WEAK,179244.33355191292,-8.287026190981795,73.16976514500563,-0.006301289924329767
2012-02-13,166301.15565231227,44106.30589893246,122194.84975337982,10,BULL_WEAK,179244.33355191292,-7.22096907786044,73.47805207611063,0.011623841958732006
2012-02-14,165526.9933483877,44106.30589893246,121420.68744945526,10,BULL_WEAK,179244.33355191292,-7.652872440484915,73.35401011839737,-0.0046551829473939765
2012-02-15,167135.83253836425,45938.01375174316,121197.8187866211,10,BULL_WEAK,179244.33355191292,-6.755304769532245,72.51456312266338,0.009719497451333492
2012-02-16,171085.3997529014,65899.99427823864,105185.40547466278,9,BULL_WEAK,179244.33355191292,-4.551850335982044,61.48122845466769,0.0236308824657967
2012-02-17,170816.4191355352,52204.46580454153,118611.95333099365,10,BULL_WEAK,179244.33355191292,-4.701914001614349,69.43826239378099,-0.0015722008877128157
2012-02-21,169440.22273966117,52204.46580454153,117235.75693511963,10,BULL_WEAK,179244.33355191292,-5.4696907946673035,69.19003943665028,-0.008056581462359769
2012-02-22,167262.55308233446,65019.8879603023,102242.66512203217,9,BULL_WEAK,179244.33355191292,-6.684607670517117,61.1270503994421,-0.012852141139312767
2012-02-23,167736.77217470354,65019.8879603023,102716.88421440125,9,BULL_WEAK,179244.33355191292,-6.4200419333627305,61.23695054022986,0.002835177890269547
2012-02-24,166920.09322442053,51624.77358044623,115295.3196439743,10,BULL_WEAK,179244.33355191292,-6.875665234863915,69.07216346264687,-0.004868812841065107
2012-02-27,167030.49474801062,51624.77358044623,115405.72116756439,10,BULL_WEAK,179244.33355191292,-6.81407247965522,69.09260571949477,0.0006614034383605194
2012-02-28,166729.48172940253,51624.77358044623,115104.7081489563,10,BULL_WEAK,179244.33355191292,-6.982006948010899,69.03680558173157,-0.0018021440878936978
2012-02-29,165763.8042706394,51624.77358044623,114139.03069019318,10,BULL_WEAK,179244.33355191292,-7.520756173510645,68.85642567893807,-0.005791881848048908
2012-03-01,166423.99614705084,51624.77358044623,114799.22256660461,10,BULL_WEAK,179244.33355191292,-7.152436649356641,68.97996997089831,0.003982726381771329
2012-03-02,165492.53604878424,51624.77358044623,113867.76246833801,10,BULL_WEAK,179244.33355191292,-7.672096088407654,68.80537647617643,-0.005596909819684748
2012-03-05,163822.78029049872,51624.77358044623,112198.00671005249,10,BULL_WEAK,179244.33355191292,-8.603648972226951,68.48742678588252,-0.010089613695890898
2012-03-06,161309.44355000494,51624.77358044623,109684.66996955872,10,BULL_WEAK,179244.33355191292,-10.005833739069725,67.99643440314587,-0.015341802501685042
2012-03-07,162096.24592293738,51624.77358044623,110471.47234249115,10,BULL_WEAK,179244.33355191292,-9.566878511118503,68.15177718243439,0.004877596473070289
2012-03-08,163000.32525624274,51624.77358044623,111375.55167579651,10,BULL_WEAK,179244.33355191292,-9.062494737645677,68.32842296523634,0.005577423019007988
2012-03-09,163555.38376511572,51624.77358044623,111930.6101846695,10,BULL_WEAK,179244.33355191292,-8.752828876597851,68.4359069129847,0.0034052601306189256
2012-03-12,162978.9975117588,51624.77358044623,111354.22393131256,10,BULL_WEAK,179244.33355191292,-9.074393437069716,68.3242783618659,-0.003524104435380093
2012-03-13,165091.20113266943,51624.77358044623,113466.4275522232,10,BULL_WEAK,179244.33355191292,-7.895999911843488,68.72954268534282,0.012959974310544187
2012-03-14,164894.63289059637,51624.77358044623,113269.85931015015,10,BULL_WEAK,179244.33355191292,-8.005664880424558,68.6922656756827,-0.0011906645582830944
2012-03-15,166224.31905545233,51624.77358044623,114599.5454750061,10,BULL_WEAK,179244.33355191292,-7.2638360379128635,68.94270713587689,0.008063853513887054
2012-03-16,166123.37142695425,51624.77358044623,114498.59784650803,10,BULL_WEAK,179244.33355191292,-7.320154486868935,68.92383465553127,-0.0006072975908200107
2012-03-19,166640.83796586035,51624.77358044623,115016.06438541412,10,BULL_WEAK,179244.33355191292,-7.031461099104885,69.02033486472111,0.0031149532691348014
2012-03-20,166498.60192097662,51624.77358044623,114873.8283405304,10,BULL_WEAK,179244.33355191292,-7.110814260270526,68.99386962723668,-0.0008535485456023784
2012-03-21,166738.7944868946,51624.77358044623,115114.02090644836,10,BULL_WEAK,179244.33355191292,-6.976811382099535,69.03853494964314,0.0014426101069122677
2012-03-22,165838.97244156836,51624.77358044623,114214.19886112213,10,BULL_WEAK,179244.33355191292,-7.478820024434462,68.87054181511184,-0.0053965968033728995
2012-03-23,166518.64204110144,51624.77358044623,114893.86846065521,10,BULL_WEAK,179244.33355191292,-7.099633923504678,68.99760114083576,0.004098370784180849
2012-03-26,168160.33317173956,51624.77358044623,116535.55959129333,10,BULL_WEAK,179244.33355191292,-6.183738230677848,69.30026683063085,0.009858902946331405
2012-03-27,166173.2849024677,51624.77358044623,114548.51132202148,10,BULL_WEAK,179244.33355191292,-7.292307874078241,68.93316900442426,-0.011816391129782722
2012-03-28,165986.8811367893,51624.77358044623,114362.10755634308,10,BULL_WEAK,179244.33355191292,-7.396302104737929,68.89828085997807,-0.001121743280141696
