year_month,start_value,end_value,min_value,max_value,return_pct,max_dd_month
2007-01,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-02,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-03,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-04,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-05,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-06,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-07,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-08,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-09,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-10,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-11,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2007-12,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2008-01,99490.80792410031,91702.76863137266,86379.9749656334,99508.69746477262,-7.8278983307372485,-13.19354270895462
2008-02,91924.50394402571,96454.27746757603,88401.98038187817,99296.404915658,4.92771059858923,-10.971620314988762
2008-03,96306.79028121085,97140.60494003113,91130.81860557647,97786.04544410523,0.8657901030504567,-6.805906515907633
2008-04,98869.54429067709,108172.89791452896,98869.54429067709,108417.84431736768,9.40972641332294,-8.806945099129804
2008-05,108325.31095039047,110791.66953765549,106871.52871238388,112650.93168365158,2.2768072998142763,-5.130364112298269
2008-06,110356.48557738937,106077.06121970907,106077.06121970907,114579.139585035,-3.8778186304956885,-7.420267245955447
2008-07,106317.1684508492,102525.4597448748,99908.36370224174,106317.1684508492,-3.566412425409282,-6.028005487721655
2008-08,102945.9886888903,100661.44597292642,99460.22859988833,102945.9886888903,-2.2191663269832906,-3.386008656962991
2008-09,99306.31520891885,85859.32779144653,83964.17272400268,99306.31520891885,-13.54091871114419,-15.449312012674765
2008-10,86858.4907705725,80018.91131515848,77384.72833550305,86858.4907705725,-7.874393619709618,-10.90712301241037
