year,1,2,3,4,5,6,7,8,9,10,11,12
2015,,4.960274060330261,0.8006403923155103,2.357746858901044,2.5061991488354085,-1.2286406670189765,-0.2095384938513689,-3.5282950384865286,-1.0845096230200357,-0.7020076080304749,-0.2647648400273428,-0.8382523728429625
2016,-2.9006546977061287,1.0984403454638691,5.543603172397638,2.1639975225217656,2.635679705003713,0.16069295027898445,4.483931543985209,1.275655412833765,3.289089362033981,-3.341427057956814,3.6818697926386257,-0.21006049986541653
2017,2.565240110941436,0.7319376483897466,-0.32087880030290394,-0.2598987859041224,-0.15771830771351691,-0.7432521941234005,-0.9349743981454717,-0.11643201591022834,2.2309161303494696,-1.1548254514039291,2.8407868898808974,2.59808936050252
2018,5.101469274142656,-2.6454626647731017,1.1525913069154958,-0.24495926112233501,3.854349875587748,1.0767999024736463,-1.2047219006199317,2.9900037902870658,0.3181261941558766,-6.392208827422596,-1.1124760572416736,-5.104001732658714
2019,4.472670174428406,3.237504252323986,2.2691249826455095,3.1847848797327494,-4.856443724049453,4.8962198929673795,0.06799240311368138,0.27721345825331145,0.7674933119251826,0.16611327490414496,0.6387602196842757,2.8266369877494757
2020,-0.6796238814741229,-5.007135486478775,-1.540052379366219,8.861274672459384,0.4715979811958704,4.201527175778819,3.688922762235536,4.976390279307186,-4.761864428645435,-2.6079473445363432,15.231412619382766,3.6836019561938382
2021,3.192099351931721,3.3315353391835556,2.307740484236187,2.713097556269184,-0.96998840837762,0.9326393557824275,-0.13561184827443062,2.315394490128786,-1.1987415756309017,3.1820050878547557,0.8067652411743786,0.921308129524756
2022,-1.8918272153984672,-1.6043112778617474,-0.4383786883218499,-4.058925506977329,0.07033224489259027,-3.6630371522041405,0.6774613435764909,5.875664978337647,-5.634606691440103,2.735136785065917,3.310996420585388,-2.83803269077737
2023,4.827073594240261,-1.5232717558455677,-0.5363141708215391,-0.6135978595928515,6.6591428513732565,4.551036273908693,7.030875696085248,-5.164153466441479,-3.028700000268003,-3.062740489611282,9.234832502575108,6.027785099177074
2024,-1.269623152541477,10.783784068357205,6.9032183202664354,-6.492901886184155,-0.8158987591270761,-1.1649953939616764,1.9605603381705583,-0.2892834319513926,1.609917526141036,4.543869918965404,8.544997651633768,-1.4939947077264426
2025,1.3290416799468519,-2.421970098848658,-1.5564787029059501,-2.4669287087269676,2.7756217467022726,6.9207538575743355,1.7308340275386191,-2.709266996903148,7.372992379710208,1.0520046026625707,-0.9877989888149252,
