date,cash,position_value,total_value,num_positions,drawdown
2015-01-02,100000.0,0.0,100000.0,0,0.0
2015-01-05,58176.56018926717,41240.08302307129,99416.64321233846,12,-0.005833567876615416
2015-01-06,58176.56018926717,40531.98057126999,98708.54076053716,12,-0.012914592394628416
2015-01-07,58176.56018926717,40771.84573698044,98948.40592624761,12,-0.010515940737523924
2015-01-08,58176.56018926717,41747.25651693344,99923.81670620061,12,-0.0007618329379938951
2015-01-09,58176.56018926717,41552.019629478455,99728.57981874562,12,-0.002714201812543761
2015-01-12,58176.56018926717,41242.35294628143,99418.9131355486,12,-0.0058108686445139755
2015-01-13,58176.56018926717,41093.72124958038,99270.28143884755,12,-0.007297185611524474
2015-01-14,58176.56018926717,40784.101766586304,98960.66195585347,12,-0.01039338044146527
2015-01-15,65388.86074213125,33035.39680337906,98424.2575455103,10,-0.015757424544896932
2015-01-16,65388.86074213125,33463.29289340973,98852.15363554098,10,-0.011478463644590228
2015-01-20,68489.63692988874,30819.732622623444,99309.36955251219,9,-0.006906304474878125
2015-01-21,68489.63692988874,31027.580685138702,99517.21761502745,9,-0.004827823849725537
2015-01-22,68489.63692988874,31477.939049243927,99967.57597913267,9,-0.0003242402086732909
2015-01-23,58450.042300009736,42022.41211795807,100472.4544179678,12,0.0
2015-01-26,58450.042300009736,42499.766474723816,100949.80877473355,12,0.0
2015-01-27,58450.042300009736,42336.44666194916,100786.4889619589,12,-0.0016178318191676958
2015-01-28,58450.042300009736,42097.75638008118,100547.79868009091,12,-0.003982276930704371
2015-01-29,58450.042300009736,42366.21482372284,100816.25712373258,12,-0.0013229510052762262
2015-01-30,58266.604416132934,42144.18530130386,100410.7897174368,12,-0.005339475763639728
2015-02-02,58266.604416132934,42045.91699743271,100312.52141356564,12,-0.006312913009969114
2015-02-03,58266.604416132934,42300.384701251984,100566.98911738492,12,-0.0037921781328272277
2015-02-04,58611.5252336607,41988.705807209015,100600.23104086972,12,-0.0034628865384371474
2015-02-05,58611.5252336607,42230.320506095886,100841.8457397566,12,-0.0010694724070044943
2015-02-06,58611.5252336607,42359.81067991257,100971.33591357328,12,0.0
2015-02-09,58611.5252336607,41954.00747394562,100565.53270760633,12,-0.0040189941263558005
2015-02-10,58283.37635674763,42832.825472831726,101116.20182957935,12,0.0
2015-02-11,44700.18989954472,57317.048645973206,102017.23854551793,15,0.0
2015-02-12,44700.18989954472,58698.65043640137,103398.8403359461,15,0.0
2015-02-13,44700.18989954472,59601.754101753235,104301.94400129796,15,0.0
2015-02-17,44700.18989954472,59965.04607105255,104665.23597059728,15,0.0
2015-02-18,44700.18989954472,59538.47181892395,104238.66171846868,15,-0.004075605889317777
2015-02-19,44700.18989954472,60149.48023891449,104849.67013845922,15,0.0
2015-02-20,44700.18989954472,60346.897941589355,105047.08784113408,15,0.0
2015-02-23,48379.64287183476,56546.300273895264,104925.94314573002,14,-0.001153241826058703
2015-02-24,48532.35392514897,56871.175612449646,105403.52953759862,14,0.0
2015-02-25,48532.35392514897,56746.75112628937,105279.10505143834,14,-0.0011804584410609771
2015-02-26,48532.35392514897,57348.65469741821,105881.00862256718,14,0.0
2015-02-27,43785.8721109171,61605.567962646484,105391.44007356359,15,-0.004623761667673161
2015-03-02,43785.8721109171,63035.540944099426,106821.41305501653,15,0.0
2015-03-03,43785.8721109171,62739.21417713165,106525.08628804875,15,-0.00277403901046652
2015-03-04,43785.8721109171,62718.97484970093,106504.84696061803,15,-0.002963507833728586
2015-03-05,43785.8721109171,62653.502742767334,106439.37485368444,15,-0.003576419656004083
2015-03-06,43785.8721109171,61787.93180370331,105573.80391462041,15,-0.011679391843970072
2015-03-09,43785.8721109171,61875.12106132507,105660.99317224218,15,-0.010863176675791574
2015-03-10,43785.8721109171,61084.691789627075,104870.56390054418,15,-0.018262716235251445
2015-03-11,43785.8721109171,61234.29509925842,105020.16721017552,15,-0.016862216978100662
2015-03-12,47076.97761145307,58650.63381481171,105727.61142626478,14,-0.010239535290442275
2015-03-13,47076.97761145307,58611.500321388245,105688.47793284131,14,-0.010605880317195544
2015-03-16,47076.97761145307,59141.140807151794,106218.11841860486,14,-0.005647693839258133
2015-03-17,42419.22432205488,63836.44070529938,106255.66502735426,15,-0.0052962043047575826
2015-03-18,47389.05925428678,59360.57391548157,106749.63316976835,14,-0.0006719615776961329
2015-03-19,42726.369911940594,64463.70389842987,107190.07381037046,15,0.0
2015-03-20,42726.369911940594,65168.743889808655,107895.11380174925,15,0.0
2015-03-23,42726.369911940594,64878.225049972534,107604.59496191313,15,-0.0026926042301594066
2015-03-24,42726.369911940594,65018.36034679413,107744.73025873472,15,-0.0013937938217558864
2015-03-25,47785.42582898237,58450.159920692444,106235.58574967482,14,-0.015380937964658064
2015-03-26,47785.42582898237,58102.04926490784,105887.47509389021,14,-0.01860731813627769
2015-03-27,47785.42582898237,58780.59008979797,106566.01591878035,14,-0.012318425145841493
2015-03-30,47785.42582898237,59063.2864151001,106848.71224408248,14,-0.009698322016597276
2015-03-31,42981.90712303449,63253.339389801025,106235.24651283553,15,-0.015384082099988598
2015-04-01,42981.90712303449,62694.512815475464,105676.41993850996,15,-0.020563432254365112
2015-04-02,47370.48168480207,58505.14695549011,105875.62864029218,14,-0.018717114151876674
2015-04-06,50370.24622477628,55562.00706863403,105932.25329341032,13,-0.01819230212728228
2015-04-07,50370.24622477628,55600.815485954285,105971.06171073057,13,-0.017832615613659803
2015-04-08,50370.24622477628,55931.259765625,106301.50599040129,13,-0.01476997201445209
2015-04-09,50370.24622477628,56125.19509792328,106495.44132269957,13,-0.012972528873008045
2015-04-10,50370.24622477628,56188.05443382263,106558.30065859892,13,-0.012389932185498607
2015-04-13,50370.24622477628,59216.64223957062,109586.8884643469,13,0.0
2015-04-14,58877.250480391514,50713.77384471893,109591.02432511045,12,0.0
2015-04-15,58877.250480391514,50819.7862071991,109697.03668759062,12,0.0
2015-04-16,58877.250480391514,51113.99043369293,109991.24091408445,12,0.0
2015-04-17,58877.250480391514,50492.381541252136,109369.63202164366,12,-0.00565143994444378
2015-04-20,58877.250480391514,50891.37558364868,109768.6260640402,12,-0.0020239325258466514
2015-04-21,58877.250480391514,51145.24295139313,110022.49343178465,12,0.0
2015-04-22,58877.250480391514,51513.179352760315,110390.42983315184,12,0.0
2015-04-23,58862.78273475553,51308.355454444885,110171.13818920041,12,-0.001986509557783844
2015-04-24,59896.6906927786,49721.18542289734,109617.87611567593,12,-0.006998375843300679
2015-04-27,59896.6906927786,49932.87053966522,109829.56123244381,12,-0.005080771961443963
2015-04-28,59896.6906927786,49677.152601242065,109573.84329402065,12,-0.007397258443194766
2015-04-29,59896.6906927786,49613.18105316162,109509.87174594021,12,-0.007976761106397846
