year,return_pct,sharpe,max_dd,num_trades
2015,2.957279480457626,0.39654391815622875,-9.41771759179338,70
2016,19.470698142153314,1.9600492822640585,-4.301036524664522,49
2017,6.589664588487258,0.9489844421363223,-5.12617602081574,27
2018,-3.91253367700556,-0.32771106697481783,-12.958308686898071,66
2019,18.81701529836957,2.149595086716463,-5.224295999426227,68
2020,27.342536742736645,1.4112321772771355,-11.120305048954883,150
2021,19.179484985983258,1.4090314972395281,-6.3057300590512595,100
2022,-8.52873047982244,-0.6133163641963215,-14.390765576055683,152
2023,25.84762246457986,1.807620469307484,-11.055779636987626,166
2024,25.989932046077328,1.676741770326402,-10.095504072221532,194
2025,10.798416915511,0.9382703088065947,-11.263819032820026,196
