year,return_pct,sharpe,max_dd,num_trades
2015,0.0,0.0,0.0,0
2016,0.0,0.0,0.0,0
2017,0.0,0.0,0.0,0
2018,0.0,0.0,0.0,0
2019,0.0,0.0,0.0,0
2020,-0.010719548770910478,-0.02754238086879209,-0.3467613492866814,20
2021,3.9163944245342877,1.0919681677760769,-3.2558105408758737,463
2022,-8.266342783765081,-2.374077942591387,-8.333718072801902,304
2023,1.4367097352646439,0.49973936828654536,-3.2916646362486777,432
2024,5.559072178289495,0.9240057457886627,-3.9521516935640286,238
2025,3.8871129052590825,0.46016782930354716,-11.63579532714533,288
