sector,num_trades,winning_trades,losing_trades,win_rate,avg_return_pct,total_return,total_return_pct
Information Technology,182,70,112,38.46153846153847,3.882131550824848,296623.91906844615,12510.90003143449
Energy,30,17,13,56.666666666666664,21.3617979049207,155380.68355417348,6929.265261404764
Technology,109,43,66,39.44954128440367,4.3788280010202465,139328.96474877594,2472.446974208649
Communication Services,61,28,33,45.90163934426229,9.204686359000243,108554.55689147461,6805.074897325924
Industrials,84,33,51,39.285714285714285,4.828766540768756,81329.64782419411,2238.2539638902904
Materials,9,5,4,55.55555555555556,27.936412694024458,32730.42066987665,374.652745712727
Consumer Staples,11,4,7,36.36363636363637,14.107566158721655,28798.980930468297,163.9046545492277
Consumer Discretionary,58,15,43,25.862068965517242,1.099848734150983,13868.252438199906,-3.8849763564578144
Real Estate,9,3,6,33.33333333333333,3.403520350646763,9828.780486466294,27.33239017935256
Financials,37,11,26,29.72972972972973,1.3026410744367647,7543.651462656766,2.5166480057751794
Health Care,97,28,69,28.865979381443296,-0.11720827787633904,-40993.45646737113,-64.87875101366623
