year_month,start_value,end_value,min_value,max_value,return_pct,max_dd_month
2014-01,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-02,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-03,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-04,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-05,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-06,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-07,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-08,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-09,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-10,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-11,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2014-12,100000.0,100281.44324221779,100000.0,100281.44324221779,0.2814432422177937,-0.2806533622955576
2015-01,100014.9396773832,102328.22463738327,96476.80731679215,103639.45616280442,2.3129394143135196,-6.9111216048457935
2015-02,102407.0570210198,109223.16920124993,101911.2010872754,110236.1152732718,6.655900851472629,-7.551893646976948
2015-03,109876.9443815521,107320.58278378856,106130.5984106779,110411.07113491737,-2.3265677910430993,-3.876851008001647
2015-04,106545.49342038155,105835.9604943441,105835.9604943441,109538.01057988868,-0.6659436295798571,-3.3796944694778785
2015-05,107069.94085103736,107766.70582702363,106064.64658433662,108805.21141032004,0.6507568515010664,-2.518780847406621
2015-06,107055.002320872,111024.33518102646,107055.002320872,113382.9250008141,3.707750944937005,-5.581019081926719
2015-07,111832.6372640419,113856.01841438995,108896.79515541779,114807.6386645514,1.8092939591246138,-5.148475813882126
2015-08,113681.90620316254,112262.62472446723,108706.79208858771,119050.03813028484,-1.2484673472653474,-8.688150129257233
2015-09,110040.8533021128,110082.02928596627,107484.93123298776,113012.96614085791,0.0374188154834032,-4.891505016318288
2015-10,111611.58284597649,115420.78224231352,111611.58284597649,115420.78224231352,3.412906885832556,-3.300271686202949
2015-11,116581.55752026162,117970.54650083024,113897.744027762,118803.91266599137,1.1914311406649558,-4.1296355718710265
2015-12,119252.07203450639,117289.57521787126,115709.05292096574,120674.75533643205,-1.645671042149499,-4.114947158270432
2016-01,115849.72982945878,109251.496188788,106286.22034421403,115872.76269116838,-5.695510598413966,-8.273335445108032
2016-02,109551.00976720292,105757.02753356744,99769.22912527953,109551.00976720292,-3.463210646526893,-8.928973509883464
2016-03,106744.49489139189,111548.86141736414,105093.47716186466,111647.5310948601,4.500809649116322,-5.870307985070311
2016-04,111310.51295287516,114233.1475608905,109785.48707373049,114435.80995159943,2.6256590958777526,-4.063695516146382
2016-05,113732.12707405884,113110.02539616424,109964.44884186584,113922.33367138702,-0.5469885193385093,-3.4741957103317733
2016-06,113290.28783016998,112925.43803196747,107513.79023247559,115074.11157112915,-0.322048610865433,-6.5699584688780455
2016-07,113594.14195996124,116130.51371079285,111647.27467041809,118460.62714272339,2.232836752907219,-5.751575554379307
2016-08,114948.12893372375,117699.73792916138,114570.8834770282,120393.92810421783,2.3937831967879353,-4.8366597210359075
2016-09,117612.84433823425,121923.4916971286,116798.8878248294,122713.02013188202,3.6651161555940837,-4.819482317928925
2016-10,121552.33539276916,120525.09576302368,118486.43855171997,121552.33539276916,-0.8451006938091199,-2.522285426390558
2016-11,120088.95091515381,134377.1892866437,118940.2875660022,135019.3539728467,11.898045792393441,-11.908712294741175
2016-12,133201.41177886171,139050.71642058535,133201.41177886171,141717.62974684878,4.391323307769834,-6.009286200453423
2017-01,140736.4922804181,139639.46684783144,139558.50558226748,141841.2833074872,-0.7794889689312745,-1.6093887985143662
2017-02,140046.4557432477,144766.4728464429,140046.4557432477,145703.25614493532,3.3703224249020503,-3.8824117946002823
2017-03,147093.73193495913,143970.82515235106,141236.58260817686,147093.73193495913,-2.1230726432238,-3.9819163262321378
2017-04,144046.80718560377,145246.32375003834,142597.25935747166,147308.27642728825,0.8327269363832546,-3.1980667916795325
2017-05,146165.04581453343,145703.15614175794,144185.25903177258,147885.67534494397,-0.31600556083810627,-2.502214162757921
2017-06,147048.91957902905,147115.38638119688,142879.36695700826,147587.05323383995,0.045200469583939196,-3.18976913874196
2017-07,147279.712656082,151094.23069006333,147114.191089691,153090.12673193344,2.589981990858936,-3.9035408551895134
2017-08,152388.34299093613,154223.78888268216,148032.20443731674,154223.78888268216,1.2044529494327438,-4.014675356001884
2017-09,155060.85721916897,159529.23611206753,154608.53977150662,159529.23611206753,2.881693660820406,-3.0845106893787055
2017-10,160504.69629616482,162334.91537649545,159329.44618141517,162933.38103277597,1.1402900491793044,-2.2119069944518177
2017-11,162140.100702118,164305.1852586976,159772.19639379892,164305.1852586976,1.3353171406728537,-2.758883633381082
2017-12,163365.17881567392,171761.0687337967,162594.56498701486,171848.96612988436,5.139338737293531,-5.385194541045402
2018-01,173803.93426762545,180664.9217885715,173803.93426762545,182825.1473478061,3.9475444269180926,-4.934339291420741
2018-02,182094.8349260074,177549.4134085947,172085.8833373232,182094.8349260074,-2.496183661255247,-5.496559851766936
2018-03,177024.19045098362,175265.42702758347,173775.47718322312,181716.2032116655,-0.9935158686050438,-4.369850287479826
2018-04,172269.02655875718,179711.12019323104,172269.02655875718,181201.2998598194,4.320041613479209,-4.929475289621211
2018-05,179618.0119512764,190106.8060628847,179618.0119512764,190609.98809833085,5.839500169088563,-5.766736704995745
2018-06,192144.90281886613,195100.57578704614,192144.90281886613,195912.2684030439,1.5382520820582446,-1.9229860461966064
2018-07,194164.31671265123,202267.22837570665,193967.0079415178,205174.46902206895,4.1732238962564505,-5.462405305089712
2018-08,200661.0874073839,205586.14122068146,199052.39649640777,206429.8533407376,2.4544139957233924,-3.573832333326543
2018-09,207683.37526539544,208203.3253930873,204706.80576346233,208534.54504988506,0.25035712513215014,-1.8355420611520623
2018-10,208492.9725793666,191156.90256235423,187093.4803173286,209153.3316530055,-8.314942130921498,-10.54721488839354
2018-11,191730.83525202097,181817.81189081492,179388.4059383613,192415.67510340037,-5.170281216464668,-6.770378327045579
2018-12,183443.9785778266,169894.621404805,165451.15464478816,183443.9785778266,-7.386100802034923,-9.80834807036468
2019-01,170339.22162453155,183752.00381150312,170168.28603188018,183752.00381150312,7.874159608722731,-7.392418856861783
2019-02,185122.58066811628,195618.01075179566,185122.58066811628,197574.21024349242,5.669448883977779,-6.30225450985259
2019-03,194691.4739306057,196813.11160207086,190943.24012144923,197378.84572172456,1.089743494479567,-3.2605346215007214
2019-04,199185.27867865853,200828.4238384817,195391.73035905312,202228.62749300938,0.8249330325631243,-3.3807761140012604
2019-05,200588.62498161156,189562.06162060847,189072.83914098263,202605.87357851822,-5.497103019682159,-6.679487715982225
2019-06,189517.1568774139,197642.46100121157,189517.1568774139,200857.64384413481,4.287371263728601,-5.646032060159545
2019-07,200122.86297112124,205694.65401861467,200122.86297112124,207012.07324430742,2.7841851574437415,-3.3279268040834586
2019-08,205867.48572726466,214933.1061014291,198009.84686968217,215436.45934048854,4.403619319553287,-8.088980168052395
2019-09,214322.41805402003,212419.07795893477,210831.09440504835,219661.6350467028,-0.8880732647415068,-4.020065060417566
2019-10,210431.1061962776,213861.62934898943,205815.97490597836,215836.4274387639,1.6302357644368604,-4.64261415540178
2019-11,215975.48035563395,221671.30137031633,215975.48035563395,224827.74355476457,2.6372535462374724,-3.937353575304803
2019-12,220772.7866074379,225573.67453457424,220159.9612271126,226765.6695830972,2.174583199727831,-2.913010760459911
2020-01,226269.80824527435,225049.8889973223,224856.2778304398,230502.7808640778,-0.5391436256620086,-2.449646382777315
2020-02,229364.32459375757,216235.83739098115,215931.0910130362,236117.89162154798,-5.723857546734501,-8.549458268443033
2020-03,219563.93279415648,212079.87674509818,206101.27506328418,219563.93279415648,-3.408599925232114,-6.131543354843116
2020-04,212270.871136208,238391.3402797818,212270.871136208,238391.3402797818,12.305253661871053,-10.956970631952567
2020-05,233572.5271303296,244393.52954333223,233572.5271303296,247250.41756525106,4.632823280181708,-5.531998922231052
2020-06,248076.40902168956,258627.61851330908,247208.29394093715,264791.9015269774,4.253209538637348,-6.640538281057973
2020-07,261002.57742071577,278964.39433661004,261002.57742071577,282759.1672667572,6.8818542304818875,-7.69438885265783
2020-08,284486.49103061506,306979.66354927013,276204.09990851016,306979.66354927013,7.906587211634752,-10.025277663326548
2020-09,308988.9869914606,289963.2170207801,280095.1819206509,308988.9869914606,-6.157426565888036,-9.351079257594463
2020-10,293804.3586270807,287238.7361804925,287238.7361804925,310766.8764601806,-2.2346919825385503,-7.570993584544016
2020-11,293930.2721683465,339168.15730196,293930.2721683465,340387.214256135,15.390685960956008,-13.648262961143576
2020-12,336024.04960683396,351902.1108688705,336024.04960683396,352122.9089111679,4.725275253546513,-4.571943175783344
