regime,num_trades,winning_trades,losing_trades,win_rate,avg_return,avg_win,avg_loss,total_pnl,profit_factor,avg_hold_days
BULL_WEAK,535,182,353,34.018691588785046,4.601419058560612,27.373627581820543,-7.139492984593234,632014.863416215,1.7450633909726045,37.38317757009346
NEUTRAL_BULLISH,111,47,64,42.34234234234234,3.250690980607736,21.303212418633187,-10.006629450442206,78193.80169927022,1.362784216290725,30.216216216216218
NEUTRAL_BEARISH,28,19,9,67.85714285714286,9.906334169358699,20.02541735362014,-11.456174775193233,73841.6033079965,3.2789891993452827,15.071428571428571
BEAR_WEAK,9,7,2,77.77777777777779,16.03587829284176,24.68013125542638,-14.219007076204417,32663.731011332464,7.822115343920165,9.666666666666666
BULL_STRONG,4,2,2,50.0,21.343150201606605,51.87889306345443,-9.192592660241221,16280.402172546852,4.111654127322672,54.25
