date,regime,score,prev_regime
2014-07-02,BULL_WEAK,0.0,NEUTRAL_BULLISH
2014-10-07,NEUTRAL_BULLISH,0.0,BULL_WEAK
2014-10-08,BULL_WEAK,0.0,NEUTRAL_BULLISH
2014-10-09,NEUTRAL_BULLISH,0.0,BULL_WEAK
2014-10-24,BULL_WEAK,0.0,NEUTRAL_BULLISH
2014-10-27,NEUTRAL_BULLISH,0.0,BULL_WEAK
2014-10-28,BULL_WEAK,0.0,NEUTRAL_BULLISH
2014-12-01,NEUTRAL_BULLISH,0.0,BULL_WEAK
2014-12-02,BULL_WEAK,0.0,NEUTRAL_BULLISH
2014-12-09,NEUTRAL_BULLISH,0.0,BULL_WEAK
2014-12-18,BULL_WEAK,0.0,NEUTRAL_BULLISH
2015-01-05,NEUTRAL_BULLISH,0.0,BULL_WEAK
2015-01-07,BULL_WEAK,0.0,NEUTRAL_BULLISH
2015-01-15,NEUTRAL_BULLISH,0.0,BULL_WEAK
2015-02-03,BULL_WEAK,0.0,NEUTRAL_BULLISH
2015-02-04,NEUTRAL_BULLISH,0.0,BULL_WEAK
2015-02-06,BULL_WEAK,0.0,NEUTRAL_BULLISH
2015-08-11,NEUTRAL_BULLISH,0.0,BULL_WEAK
2015-08-18,BULL_WEAK,0.0,NEUTRAL_BULLISH
2015-08-19,NEUTRAL_BULLISH,0.0,BULL_WEAK
2015-09-01,NEUTRAL_BEARISH,0.0,NEUTRAL_BULLISH
2015-09-22,NEUTRAL_BULLISH,0.0,NEUTRAL_BEARISH
2015-10-19,BULL_WEAK,0.0,NEUTRAL_BULLISH
2015-12-11,NEUTRAL_BULLISH,0.0,BULL_WEAK
2015-12-15,BULL_WEAK,0.0,NEUTRAL_BULLISH
2015-12-18,NEUTRAL_BULLISH,0.0,BULL_WEAK
2015-12-21,BULL_WEAK,0.0,NEUTRAL_BULLISH
2015-12-31,NEUTRAL_BULLISH,0.0,BULL_WEAK
2016-02-08,NEUTRAL_BEARISH,0.0,NEUTRAL_BULLISH
2016-02-10,NEUTRAL_BULLISH,0.0,NEUTRAL_BEARISH
2016-02-11,NEUTRAL_BEARISH,0.0,NEUTRAL_BULLISH
2016-02-12,NEUTRAL_BULLISH,0.0,NEUTRAL_BEARISH
2016-03-04,BULL_WEAK,0.0,NEUTRAL_BULLISH
2016-06-24,NEUTRAL_BULLISH,0.0,BULL_WEAK
2016-07-12,BULL_WEAK,0.0,NEUTRAL_BULLISH
2016-07-21,NEUTRAL_BULLISH,0.0,BULL_WEAK
2016-07-22,BULL_WEAK,0.0,NEUTRAL_BULLISH
2016-11-04,NEUTRAL_BULLISH,0.0,BULL_WEAK
2016-11-07,BULL_WEAK,0.0,NEUTRAL_BULLISH
2018-02-05,NEUTRAL_BULLISH,0.0,BULL_WEAK
2018-02-06,BULL_WEAK,0.0,NEUTRAL_BULLISH
2018-02-07,NEUTRAL_BULLISH,0.0,BULL_WEAK
2018-03-06,BULL_WEAK,0.0,NEUTRAL_BULLISH
2018-03-23,NEUTRAL_BULLISH,0.0,BULL_WEAK
2018-04-24,BULL_WEAK,0.0,NEUTRAL_BULLISH
2018-07-26,NEUTRAL_BULLISH,0.0,BULL_WEAK
2018-07-27,BULL_WEAK,0.0,NEUTRAL_BULLISH
2018-08-09,NEUTRAL_BULLISH,0.0,BULL_WEAK
2018-08-15,BULL_WEAK,0.0,NEUTRAL_BULLISH
2018-10-11,NEUTRAL_BULLISH,0.0,BULL_WEAK
2018-10-12,BULL_WEAK,0.0,NEUTRAL_BULLISH
2018-10-15,NEUTRAL_BULLISH,0.0,BULL_WEAK
2018-12-21,NEUTRAL_BEARISH,0.0,NEUTRAL_BULLISH
