year,return_pct,volatility,sharpe,max_dd,best_day,worst_day,num_trades,win_rate
2014,0.2814432422177937,0.28200332882593526,1.0019900517195865,0.0,0.2814432422177937,0.0,0,0.0
2015,17.272055151171028,14.934368024555205,1.123780055026906,-9.714492392384235,2.826990374988325,-3.0175043439362614,45,37.77777777777778
2016,20.026793869334437,16.952995922857372,1.0889391225984273,-13.897600429886193,2.9185601716445575,-3.6253743298640506,12,16.666666666666664
2017,22.044443449366334,10.851224192939718,2.0095263970456783,-3.9819163262321773,2.8410959976520545,-2.1805055410020535,12,58.333333333333336
2018,-2.249266036061559,13.121816483282778,-0.018036162064914284,-20.89480318712831,2.4734284508310056,-3.193379552226505,26,34.61538461538461
2019,32.426150820268894,13.25905099823285,2.205183893798121,-6.679487715982221,3.2088342005229586,-2.753369751704249,47,31.914893617021278
2020,55.52322848455855,19.837693388165537,2.333482519325229,-12.71255488185311,4.38184916147335,-3.165229294383065,101,48.51485148514851
2021,26.374160508780232,20.96140277909776,1.1931634838045375,-11.833637072977524,4.356379494941498,-3.9802410960111168,79,31.645569620253166
2022,-1.6904257176959758,19.88614782027239,0.02352277194749779,-11.015549695778478,3.233402832306864,-3.614636947636529,67,29.850746268656714
2023,32.818326330597046,17.758515317323027,1.7035916397475541,-12.382150002977815,3.7297902902152513,-3.2362314166578643,84,38.095238095238095
2024,49.03901890158879,17.650513145543375,2.3094752157278022,-13.165135957693968,4.383755246585008,-2.839089445993992,92,44.565217391304344
2025,6.18294646037465,13.192454033391257,0.6199570331921699,-16.78643376544081,2.9332789736354004,-2.5629139637934673,122,32.78688524590164
