regime,hold_bucket,total_trades,avg_pl_pct,win_rate_pct
BEAR_STRONG,1-3d,33,0.47432750112329786,48.484848484848484
BEAR_STRONG,15-30d,1,-6.95379759075358,0.0
BEAR_STRONG,30d+,1,-22.235330558776642,0.0
BEAR_STRONG,4-7d,13,-1.2615751626809801,23.076923076923077
BEAR_STRONG,8-14d,7,-0.47177128984448674,57.14285714285714
BEAR_WEAK,1-3d,126,2.3903456275703028,62.698412698412696
BEAR_WEAK,15-30d,29,-2.081235590363755,27.586206896551722
BEAR_WEAK,30d+,12,-8.249248916488964,16.666666666666664
BEAR_WEAK,4-7d,74,1.5447143874721427,56.75675675675676
BEAR_WEAK,8-14d,35,-0.15280683511297374,34.285714285714285
BULL_STRONG,1-3d,4,5.743119398648749,50.0
BULL_STRONG,15-30d,2,20.945612679893582,100.0
BULL_STRONG,4-7d,2,3.064204421381912,50.0
BULL_STRONG,8-14d,2,24.560669084847884,100.0
BULL_WEAK,1-3d,86,3.1177353733390993,53.48837209302325
BULL_WEAK,15-30d,20,6.023991182794658,55.00000000000001
BULL_WEAK,30d+,4,35.02421048450595,100.0
BULL_WEAK,4-7d,52,5.068403763529507,65.38461538461539
BULL_WEAK,8-14d,29,1.4903396878133741,41.37931034482759
CRISIS,1-3d,6,-9.799651140073879,0.0
NEUTRAL_BEARISH,1-3d,209,2.159623521050168,64.5933014354067
NEUTRAL_BEARISH,15-30d,38,0.9381689704242057,52.63157894736842
NEUTRAL_BEARISH,30d+,26,-5.372316072280366,26.923076923076923
NEUTRAL_BEARISH,4-7d,114,2.5281858037599347,62.28070175438597
NEUTRAL_BEARISH,8-14d,55,2.026498609878275,60.0
NEUTRAL_BULLISH,1-3d,338,1.571247886423021,49.70414201183432
NEUTRAL_BULLISH,15-30d,39,4.2579654299366005,56.41025641025641
NEUTRAL_BULLISH,30d+,10,7.829977626586557,80.0
NEUTRAL_BULLISH,4-7d,181,1.7461047186833283,50.82872928176796
NEUTRAL_BULLISH,8-14d,98,3.0040935817604897,62.244897959183675
