date,ticker,action,price,shares,value,reason,entry_date,entry_price,exit_price,cost,proceeds,pl,pl_pct,hold_days
2020-01-02,WDC,BUY,47.39302792142582,74,3507.0840661855104,NEW_CANDIDATE,,,,,,,,
2020-01-02,AMD,BUY,45.863910884792496,76,3485.6572272442295,NEW_CANDIDATE,,,,,,,,
2020-01-02,MTCH,BUY,80.93968865692045,43,3480.4066122475797,NEW_CANDIDATE,,,,,,,,
2020-01-02,SHOP,BUY,39.70771935084029,88,3494.2793028739457,NEW_CANDIDATE,,,,,,,,
2020-01-02,APA,BUY,22.30571375184384,158,3524.302772791327,NEW_CANDIDATE,,,,,,,,
2020-01-02,TPL,BUY,231.36829739196173,14,3239.1561634874643,NEW_CANDIDATE,,,,,,,,
2020-01-03,AMD,SELL,,76,,TAKE_PROFIT,2020-01-02,45.863910884792496,47.55542907714844,3485.6572272442295,3614.212609863281,128.55538261905167,3.6881246272367383,1.0
2020-01-06,TPL,SELL,,14,,TAKE_PROFIT,2020-01-02,231.36829739196173,269.33123692103794,3239.1561634874643,3770.637316894531,531.4811534070668,16.408012660767895,4.0
2020-01-06,ON,BUY,24.98193380726416,141,3522.4526668242465,NEW_CANDIDATE,,,,,,,,
2020-01-07,WDC,SELL,,74,,TAKE_PROFIT,2020-01-02,47.39302792142582,49.53494807652064,3507.0840661855104,3665.5861576625275,158.50209147701707,4.5194836646562715,5.0
2020-01-07,MTCH,SELL,,43,,TAKE_PROFIT,2020-01-02,80.93968865692045,84.54950081961495,3480.4066122475797,3635.628535243443,155.22192299586322,4.459878982232593,5.0
2020-01-07,SHOP,SELL,,88,,TAKE_PROFIT,2020-01-02,39.70771935084029,41.4374516078404,3494.2793028739457,3646.4957414899554,152.21643861600978,4.356161182960276,5.0
2020-01-07,APA,SELL,,158,,TAKE_PROFIT,2020-01-02,22.30571375184384,26.818502916608537,3524.302772791327,4237.323460824149,713.0206880328224,20.231538945449174,5.0
2020-01-07,GE,BUY,59.45727958635664,59,3507.979495595042,NEW_CANDIDATE,,,,,,,,
2020-01-08,APA,BUY,28.608130343174526,124,3547.4081625536414,NEW_CANDIDATE,,,,,,,,
2020-01-08,WDC,BUY,50.29232917447539,69,3470.170713038802,NEW_CANDIDATE,,,,,,,,
2020-01-08,MTCH,BUY,82.35811310274468,42,3459.0407503152765,NEW_CANDIDATE,,,,,,,,
2020-01-08,PAYC,BUY,273.8820471054589,12,3286.584565265507,NEW_CANDIDATE,,,,,,,,
2020-01-09,MTCH,SELL,,42,,TAKE_PROFIT,2020-01-08,82.35811310274468,86.14453604561942,3459.0407503152765,3618.0705139160154,159.029763600739,4.597510555093754,1.0
2020-01-09,PAYC,SELL,,12,,TAKE_PROFIT,2020-01-08,273.8820471054589,285.2445273263114,3286.584565265507,3422.934327915737,136.34976265022988,4.148676534638775,1.0
2020-01-10,MTCH,BUY,83.80228328252292,41,3435.8936145834396,NEW_CANDIDATE,,,,,,,,
2020-01-10,PAYC,BUY,278.4791677855594,12,3341.750013426713,NEW_CANDIDATE,,,,,,,,
2020-01-13,ON,SELL,,141,,TAKE_PROFIT,2020-01-06,24.98193380726416,25.23942925589425,3522.4526668242465,3558.7595250810896,36.30685825684304,1.030726646770711,7.0
2020-01-13,MTCH,SELL,,41,,TAKE_PROFIT,2020-01-10,83.80228328252292,88.13746926443918,3435.8936145834396,3613.636239842006,177.74262525856648,5.173112010923412,3.0
2020-01-13,PAYC,SELL,,12,,TAKE_PROFIT,2020-01-10,278.4791677855594,291.3754268101284,3341.750013426713,3496.5051217215405,154.75510829482755,4.630960056049729,3.0
2020-01-14,APA,SELL,,124,,TAKE_PROFIT,2020-01-08,28.608130343174526,33.46396778651646,3547.4081625536414,4149.532005528042,602.1238429744003,16.973627374780428,6.0
2020-01-14,WDC,SELL,,69,,TAKE_PROFIT,2020-01-08,50.29232917447539,52.85767593383789,3470.170713038802,3647.1796394348144,177.00892639601216,5.100870851422949,6.0
2020-01-14,PCG,BUY,11.00982522766368,318,3501.12442239705,NEW_CANDIDATE,,,,,,,,
2020-01-14,ZS,BUY,59.138354196720904,58,3430.0245434098124,NEW_CANDIDATE,,,,,,,,
2020-01-14,SMCI,BUY,2.8079786512936904,1227,3445.389805137358,NEW_CANDIDATE,,,,,,,,
2020-01-15,PCG,SELL,,318,,TAKE_PROFIT,2020-01-14,11.00982522766368,11.57488831111363,3501.12442239705,3680.8144829341345,179.69006053708472,5.1323528917621175,1.0
2020-01-15,SMCI,SELL,,1227,,STOP_LOSS,2020-01-14,2.8079786512936904,2.745485748563494,3445.389805137358,3368.711013487407,-76.67879164995111,-2.22554764443828,1.0
2020-01-15,APA,BUY,28.501822879170888,120,3420.2187455005064,NEW_CANDIDATE,,,,,,,,
2020-01-15,MTCH,BUY,87.73228479336511,39,3421.5591069412394,NEW_CANDIDATE,,,,,,,,
2020-01-16,MTCH,SELL,,39,,TAKE_PROFIT,2020-01-15,87.73228479336511,91.6795189993722,3421.5591069412394,3575.501240975516,153.94213403427648,4.499180906212538,1.0
2020-01-16,PCG,BUY,12.880987097686651,276,3555.1524389615156,NEW_CANDIDATE,,,,,,,,
2020-01-16,SMCI,BUY,2.788598002099509,1263,3521.99927665168,NEW_CANDIDATE,,,,,,,,
2020-01-17,ZS,SELL,,58,,TAKE_PROFIT,2020-01-14,59.138354196720904,61.98562741960798,3430.0245434098124,3595.166390337263,165.1418469274504,4.814596654847306,3.0
2020-01-17,MTCH,BUY,90.46871800697558,38,3437.811284265072,NEW_CANDIDATE,,,,,,,,
2020-01-21,PCG,SELL,,276,,TAKE_PROFIT,2020-01-16,12.880987097686651,13.402178682599748,3555.1524389615156,3699.0013163975304,143.84887743601485,4.046208423007427,5.0
2020-01-21,SMCI,SELL,,1263,,TAKE_PROFIT,2020-01-16,2.788598002099509,2.8913714408874513,3521.99927665168,3651.802129840851,129.8028531891714,3.6854877867145204,5.0
2020-01-21,PAYC,BUY,289.9908857528224,12,3479.890629033869,NEW_CANDIDATE,,,,,,,,
2020-01-22,PAYC,SELL,,12,,TAKE_PROFIT,2020-01-21,289.9908857528224,303.5938912527902,3479.890629033869,3643.126695033482,163.23606599961295,4.690838977457536,1.0
2020-01-22,PCG,BUY,13.230768395056671,266,3519.3843930850744,NEW_CANDIDATE,,,,,,,,
2020-01-22,SMCI,BUY,2.893211038533061,1224,3541.290311164467,NEW_CANDIDATE,,,,,,,,
2020-01-23,PCG,SELL,,266,,TAKE_PROFIT,2020-01-22,13.230768395056671,13.911192294529506,3519.3843930850744,3700.377150344849,180.9927572597744,5.1427390999230145,1.0
2020-01-23,MRNA,BUY,22.399540135399057,159,3561.5268815284503,NEW_CANDIDATE,,,,,,,,
2020-01-24,MTCH,SELL,,38,,STOP_LOSS,2020-01-17,90.46871800697558,86.22975638253348,3437.811284265072,3276.7307425362724,-161.08054172879974,-4.685555093325467,7.0
2020-01-24,PCG,BUY,13.651419758672409,257,3508.4148779788093,NEW_CANDIDATE,,,,,,,,
2020-01-27,PAYC,BUY,304.1651454972409,11,3345.8166004696504,NEW_CANDIDATE,,,,,,,,
2020-01-28,MRNA,SELL,,159,,TAKE_PROFIT,2020-01-23,22.399540135399057,23.317256491524827,3561.5268815284503,3707.4437821524475,145.9169006239972,4.097032129134909,5.0
2020-01-28,PCG,SELL,,257,,TAKE_PROFIT,2020-01-24,13.651419758672409,14.591721507481166,3508.4148779788093,3750.0724274226595,241.65754944385026,6.887941074490844,4.0
2020-01-29,GE,SELL,,59,,TAKE_PROFIT,2020-01-07,59.45727958635664,61.50432771955217,3507.979495595042,3628.755335453578,120.77583985853607,3.442888990947464,22.0
2020-01-29,PAYC,SELL,,11,,TAKE_PROFIT,2020-01-27,304.1651454972409,323.35750994001114,3345.8166004696504,3556.9326093401223,211.1160088704719,6.309850003160294,2.0
2020-01-29,PCG,BUY,14.67690815770985,236,3463.7503252195247,NEW_CANDIDATE,,,,,,,,
2020-01-29,MRNA,BUY,22.338681721861768,156,3484.834348610436,NEW_CANDIDATE,,,,,,,,
2020-01-30,ANET,BUY,14.49197774717411,238,3449.090703827438,NEW_CANDIDATE,,,,,,,,
2020-01-30,PAYC,BUY,318.62865956813386,11,3504.9152552494725,NEW_CANDIDATE,,,,,,,,
2020-01-31,MRNA,SELL,,156,,STOP_LOSS,2020-01-29,22.338681721861768,20.773686327253067,3484.834348610436,3240.6950670514784,-244.13928155895746,-7.005764324387672,2.0
2020-01-31,ANET,SELL,,238,,STOP_LOSS,2020-01-30,14.49197774717411,14.274257332938058,3449.090703827438,3397.273245239258,-51.817458588180216,-1.5023512872734444,1.0
