year,month,return_pct
2020,1,3.4500361619898445
2020,2,-2.022181619662744
2020,3,0.08359536911375365
2020,4,1.267791899240156
2020,5,5.01153541285595
2020,6,2.671330054295362
2020,7,2.4042810433881012
2020,8,3.6258686324317724
2020,9,-0.14669021282615047
2020,10,5.137359606974878
2020,11,4.33921207318968
2020,12,4.30114839390654
2021,1,6.83303892077054
2021,2,2.1352102315416177
2021,3,2.2632407895539997
2021,4,0.8227674866317258
2021,5,1.3977008449759465
2021,6,0.2881745064087893
2021,7,-0.5151187415004421
2021,8,-0.3547833363019004
2021,9,0.43407454827442127
2021,10,3.9827797347349314
2021,11,-0.6868370676872515
2021,12,1.145875069131197
2022,1,1.2583856683174632
2022,2,1.2077844286860984
2022,3,0.3422659892182489
2022,4,-0.17446712361166572
2022,5,1.1160003795453344
2022,6,0.2354881186726665
2022,7,1.0508825431005064
2022,8,0.5706236955490107
2022,9,-0.5941940676798318
2022,10,1.0323238695876702
2022,11,1.6596993661187387
2022,12,-0.050607489714904474
2023,1,1.3341343471111822
2023,2,-1.0373761123912528
2023,3,0.6299180491977419
2023,4,0.3061649903940866
2023,5,1.814498235271067
2023,6,0.6946254317811817
2023,7,1.3648574662878943
2023,8,0.10737913176435132
2023,9,-0.5855155223145059
2023,10,-0.19836403822794946
2023,11,0.9453946333698893
2023,12,0.929370868061774
2024,1,0.060759419893829936
2024,2,2.6159615322258745
2024,3,2.0896249311285198
2024,4,-0.358398501553836
2024,5,0.5620596448258741
2024,6,-0.3343265655315175
2024,7,0.10202632739162443
2024,8,0.7888428729162289
2024,9,0.34210706855117845
2024,10,1.23280007738662
2024,11,1.5958610463726153
2024,12,-0.7848292242550015
2025,1,0.36288549117053925
2025,2,-0.4581873855483032
2025,3,0.02430257956327342
2025,4,-0.20094594850542657
2025,5,0.3535288450446261
2025,6,1.8381218857363102
2025,7,0.5063047069524318
2025,8,-0.7106641604543107
2025,9,1.285807030116315
2025,10,-0.3486899886952832
2025,11,-0.2789609827431594
