date,cash,positions_value,total_value,positions_count,daily_return
2020-01-02,79269.11385516996,21201.847972869873,100470.96182803983,6,
2020-01-03,82883.32646503324,17526.643711090088,100409.97017612333,5,-0.0006070575100185494
2020-01-06,83131.51111510352,17556.747634887695,100688.25874999122,5,0.0027715233196441424
2020-01-07,94808.56551472857,6927.386703491211,101735.95221821978,2,0.010405319162684057
2020-01-08,81045.36132355533,20770.480949401855,101815.84227295719,6,0.000785268658674898
2020-01-09,88086.36616538708,13924.860034942627,102011.22620032971,4,0.0019189933807031156
2020-01-10,81308.72253737692,20615.185285568237,101923.90782294516,6,-0.0008559683148311459
2020-01-13,91977.62342402154,10442.788047790527,102420.41147181207,3,0.004871316842849138
2020-01-14,89397.7962980402,14057.966465234756,103455.76276327495,4,0.010108837453243646
2020-01-15,89605.54394202,13821.781372070312,103427.32531409031,4,-0.0002748754484533933
2020-01-16,86103.89346738231,17472.619190216064,103576.51265759837,5,0.0014424364456395722
2020-01-17,86261.2485734545,17347.33084154129,103608.5794149958,5,0.0003095948741143051
2020-01-21,90132.16139065902,13516.197841644287,103648.35923230331,4,0.00038394327508517456
2020-01-22,86714.61338144296,16670.77191543579,103385.38529687875,5,-0.0025371741277173676
2020-01-23,86853.46365025936,16750.333530426025,103603.79718068539,5,0.002112599214864286
2020-01-24,86621.77951481682,17017.648181915283,103639.4276967321,5,0.00034391129491684325
2020-01-27,83275.96291434717,20370.645025253296,103646.60793960046,6,6.928099689407219e-05
2020-01-28,90733.47912392227,13325.182765960693,104058.66188988296,4,0.003975566190479007
2020-01-29,90970.58239488599,13181.01450920105,104151.59690408704,4,0.0008931021456188848
2020-01-30,84016.57643580908,20188.580835342407,104205.15727115149,6,0.0005142539207898533
2020-01-31,90654.54474809981,13282.701595306396,103937.24634340621,4,-0.002570994898536072
2020-02-03,87473.86545956014,17561.637411117554,105035.5028706777,5,0.010566534768901459
2020-02-04,94915.2481161123,9899.391506195068,104814.63962230737,3,-0.0021027485215380226
2020-02-05,85161.65930819372,18937.25940132141,104098.91870951513,6,-0.0068284441502760584
2020-02-06,94496.94275050024,9884.779111862183,104381.72186236242,3,0.0027166771408686508
2020-02-07,87547.4481514643,16799.5562210083,104347.0043724726,5,-0.00033260123774925265
2020-02-10,84118.07199789266,20690.95216369629,104809.02416158895,6,0.004427724512983122
2020-02-11,90928.52038558362,13496.525199890137,104425.04558547375,4,-0.003663602244051045
2020-02-12,87179.872780716,16896.56841278076,104076.44119349676,5,-0.0033383216643333435
2020-02-13,83742.41349687356,20513.752727508545,104256.1662243821,6,0.0017268560379692932
2020-02-14,87412.3661689055,16781.18892288208,104193.55509178758,5,-0.0006005508821393946
2020-02-18,88380.38809728637,16035.901636123657,104416.28973341003,5,0.0021377007572707107
2020-02-19,84923.1260081896,20224.001220703125,105147.12722889273,6,0.006999267042993251
2020-02-20,84923.1260081896,20203.373697280884,105126.49970547049,6,-0.00019617771750757296
2020-02-21,84923.1260081896,20145.017908096313,105068.14391628592,6,-0.0005551006582361628
2020-02-24,87728.48833380344,16417.10573387146,104145.5940676749,5,-0.008780490586624112
2020-02-25,84298.44317958079,19506.970504760742,103805.41368434153,6,-0.0032663924612338358
2020-02-26,88037.50268013883,15750.453372955322,103787.95605309415,5,-0.00016817650089484548
2020-02-27,94169.47861392185,8986.432525634766,103155.91113955661,3,-0.006089771275717304
2020-02-28,86982.14183577312,15929.352401733398,102911.49423750651,5,-0.0023693930803386776
2020-03-02,93241.78243620646,10485.20883178711,103726.99126799357,3,0.007924256046705436
2020-03-03,96531.74430803263,6942.149505615234,103473.89381364787,2,-0.0024400346645723214
2020-03-04,98543.54041000975,5097.944871902466,103641.48528191222,2,0.0016196497694980216
2020-03-05,103134.43933502735,1556.8040571212769,104691.24339214862,1,0.010128744366997289
2020-03-06,101676.42579487983,3026.9955711364746,104703.42136601631,2,0.00011632275511397339
2020-03-09,104305.95924815742,0.0,104305.95924815742,0,-0.0037960757411112933
2020-03-10,101334.06691154862,2990.7623863220215,104324.82929787064,2,0.00018091056205449263
2020-03-11,104219.43391866113,0.0,104219.43391866113,0,-0.001010261698186743
2020-03-12,104219.43391866113,0.0,104219.43391866113,0,0.0
2020-03-13,104219.43391866113,0.0,104219.43391866113,0,0.0
2020-03-16,104219.43391866113,0.0,104219.43391866113,0,0.0
2020-03-17,104219.43391866113,0.0,104219.43391866113,0,0.0
2020-03-18,104219.43391866113,0.0,104219.43391866113,0,0.0
2020-03-19,101210.26783719394,2717.6260175704956,103927.89385476444,2,-0.0027973675631766115
2020-03-20,103813.70222921464,0.0,103813.70222921464,0,-0.001098758199693406
2020-03-23,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-03-24,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-03-25,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-03-26,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-03-27,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-03-30,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-03-31,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-01,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-02,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-03,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-06,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-07,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-08,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-09,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-13,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-14,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-15,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-16,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-17,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-20,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-21,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-22,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-23,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-24,103813.70222921464,0.0,103813.70222921464,0,0.0
2020-04-27,100826.45701445705,2910.6083068847656,103737.06532134181,2,-0.0007382157290144464
2020-04-28,100799.1760025993,3033.1876335144043,103832.3636361137,2,0.0009186525035838056
2020-04-29,97452.73015176937,7424.929908752441,104877.66006052181,3,0.01006715428410554
2020-04-30,105129.84393637793,0.0,105129.84393637793,0,0.002404552844815555
2020-05-01,102162.51011009217,2651.5464477539062,104814.05655784608,2,-0.003003784336662374
2020-05-04,102021.51283778346,2939.9174880981445,104961.4303258816,2,0.0014060496547445567
2020-05-05,99991.87240118206,4972.966202735901,104964.83860391796,2,3.247171866638254e-05
2020-05-06,97642.3067281813,7296.441362380981,104938.74809056228,3,-0.0002485643164196194
2020-05-07,100667.18362000381,4912.408316612244,105579.59193661605,2,0.006106837157050071
2020-05-08,77383.87136256453,28550.385681152344,105934.25704371688,7,0.0033592202867551713
2020-05-11,77135.77709415834,29320.212034225464,106455.98912838381,7,0.004925055399705336
2020-05-12,94470.59085292017,12560.149963378906,107030.74081629908,3,0.005398960571604272
2020-05-13,96212.7254363975,10841.539947509766,107054.26538390726,3,0.00021979262620042128
2020-05-14,96071.58772482742,10833.700618743896,106905.28834357132,3,-0.0013916030323658513
2020-05-15,74144.65352257346,33759.78811645508,107904.44163902853,7,0.009346154067197743
2020-05-18,75101.07301631517,33550.14780044556,108651.22081676073,7,0.0069207454891466735
2020-05-19,80863.91637377167,28062.56964111328,108926.48601488495,6,0.002533475427657139
2020-05-20,76232.33503527175,33484.019344329834,109716.35437960159,7,0.007251389387597618
2020-05-21,71732.93940548264,37794.682147979736,109527.62155346238,8,-0.0017201886373859887
2020-05-22,77288.21391981718,32918.782611846924,110206.9965316641,7,0.006202773040863585
2020-05-26,92087.26884541473,19606.812726974487,111694.08157238922,4,0.013493562909119294
2020-05-27,76868.5594381662,35120.85733795166,111989.41677611785,7,0.002644143714429781
2020-05-28,76522.49380925203,33851.02771568298,110373.52152493501,7,-0.014428999611751148
2020-05-29,76164.623008077,33902.227111816406,110066.85011989341,7,-0.0027784870936851114
2020-06-01,71319.03373400096,40689.6796875,112008.71342150096,8,0.017642580845116607
2020-06-02,75701.24424850824,37626.67300987244,113327.91725838068,7,0.011777689400961355
2020-06-03,57746.4959384657,56237.94773674011,113984.44367520581,10,0.005793156997037974
2020-06-04,80661.54760210967,34297.13984680176,114958.68744891143,6,0.008547164352371572
2020-06-05,75292.64643687397,43668.0309715271,118960.67740840107,7,0.03481241868969809
2020-06-08,84631.89294377502,37453.80804824829,122085.70099202331,6,0.02626938288938785
2020-06-09,86229.1739629816,33768.42056274414,119997.59452572574,6,-0.017103612047360106
2020-06-10,91162.71974693883,27153.127143859863,118315.8468907987,5,-0.014014844560625739
2020-06-11,87085.87121497965,27356.69345474243,114442.56466972208,6,-0.032736800038726144
2020-06-12,76999.14033384025,39368.888916015625,116368.02924985587,8,0.01682472413730518
2020-06-15,81791.79284162223,35256.768907547,117048.56174916922,7,0.005848105392007419
2020-06-16,76881.0176164198,41376.45463180542,118257.47224822523,8,0.010328281535373796
2020-06-17,76881.0176164198,40263.126918792725,117144.14453521253,8,-0.009414438613027265
2020-06-18,76881.0176164198,40364.62851142883,117245.64612784864,8,0.0008664674878871015
2020-06-19,80822.97747865201,35507.91983795166,116330.89731660367,7,-0.0078019853312718546
2020-06-22,79853.82802397158,36068.750343322754,115922.57836729434,7,-0.003509978507240996
2020-06-23,74931.42016671316,40807.42439651489,115738.84456322805,8,-0.0015849699571393039
2020-06-24,83719.68549416677,30578.501091003418,114298.18658517019,6,-0.012447488857302624
2020-06-25,78520.59884197649,36574.04035949707,115094.63920147356,7,0.006968199934737296
