date,cash,positions_value,total_value,positions_count,daily_return
2020-01-02,79236.03512992602,21201.847972869873,100437.8831027959,6,
2020-01-03,82850.24773978931,17526.643711090088,100376.8914508794,5,-0.0006072574414384135
2020-01-06,83116.29241115438,17556.747634887695,100673.04004604208,5,0.002950366273372751
2020-01-07,86884.71160046774,14880.30107498169,101765.01267544943,4,0.01084672350122684
2020-01-08,83644.51983965952,18240.504219055176,101885.0240587147,5,0.0011792990548531446
2020-01-09,87788.0858000647,13838.847263336182,101626.93306340088,4,-0.0025331592910562417
2020-01-10,80851.7410626005,20627.410329818726,101479.15139241923,6,-0.0014541585239954413
2020-01-13,91639.85946949571,10442.788047790527,102082.64751728624,3,0.0059469961719851305
2020-01-14,84830.17951102032,17651.356563806534,102481.53607482686,5,0.003907505998735683
2020-01-15,88511.64344776928,13937.524642944336,102449.16809071362,4,-0.00031584210534862933
2020-01-16,85148.28421391059,17586.8440284729,102735.1282423835,5,0.0027912393726483575
2020-01-17,85370.03380858879,17460.071808338165,102830.10561692696,5,0.0009244878180263427
2020-01-21,85505.79255385202,17237.491082429886,102743.2836362819,5,-0.0008443245304881053
2020-01-22,89361.94241583001,13216.282655715942,102578.22507154595,4,-0.0016065144006909282
2020-01-23,86034.62587887203,16792.259867191315,102826.88574606334,5,0.002424107790361507
2020-01-24,85854.13786942168,17058.236024856567,102912.37389427825,5,0.0008313793381433676
2020-01-27,82484.35704168216,20407.809272289276,102892.16631397144,6,-0.00019635714872900945
2020-01-28,89941.87325125726,13361.70973110199,103303.58298235925,4,0.003998522755681799
2020-01-29,90073.0676718772,13215.381850719452,103288.44952259665,4,-0.0001464950132966658
2020-01-30,83080.91717702847,20223.327173233032,103304.2443502615,6,0.00015291959302188296
2020-01-31,86321.61224407995,16638.795006752014,102960.40725083197,5,-0.0033283927644224276
2020-02-03,86590.05218332169,17422.47700071335,104012.52918403504,5,0.010218704075634522
2020-02-04,90175.9058329764,13582.801686286926,103758.70751926332,4,-0.0024402989405499786
2020-02-05,87465.91206254365,15666.467428207397,103132.37949075105,5,-0.006036390038840822
2020-02-06,87267.65822073258,16052.846454143524,103320.50467487611,5,0.00182411367849733
2020-02-07,89836.6477252627,13510.30899810791,103346.9567233706,4,0.00025601935044483604
2020-02-10,82784.7822086787,20976.23838043213,103761.02058911083,6,0.004006541449000256
2020-02-11,89602.17555094206,13828.386589050293,103430.56213999235,4,-0.003184803380328005
2020-02-12,89549.17222205046,13678.00788116455,103227.18010321501,4,-0.001966363061065679
2020-02-13,82556.20038153548,20763.24284362793,103319.44322516341,6,0.0008937871000269659
2020-02-14,86226.15305356742,17026.753761291504,103252.90681485893,5,-0.0006439873099149951
2020-02-18,87164.72022178257,16278.870458602905,103443.59068038547,5,0.0018467651072375801
2020-02-19,83674.51553964007,20508.507858276367,104183.02339791643,6,0.007148173344210473
2020-02-20,87335.7987990046,16936.360887527466,104272.15968653206,5,0.000855574024523964
2020-02-21,83810.05002325015,20352.822862625122,104162.87288587527,6,-0.0010480918491122537
2020-02-24,86615.41234886399,16642.830320358276,103258.24266922227,5,-0.00868476638162774
2020-02-25,83205.33616079361,19745.384742736816,102950.72090353043,6,-0.0029781812835703025
2020-02-26,83205.33616079361,19396.393604278564,102601.72976507217,6,-0.0033898853295575293
2020-02-27,86446.3148264997,15157.336200714111,101603.65102721381,5,-0.009727698939809959
2020-02-28,86137.60305339276,15636.05354309082,101773.65659648358,5,0.0016732230343201593
2020-03-02,92850.92501991498,9881.697616577148,102732.62263649213,3,0.009422536951882332
2020-03-03,96020.26136116254,6724.80485534668,102745.06621650922,2,0.00012112588677037905
2020-03-04,97919.76774988283,4986.089593887329,102905.85734377016,2,0.0015649522958318673
2020-03-05,102171.03781389049,1556.8040571212769,103727.84187101177,1,0.007987733142299946
2020-03-06,100741.01441288949,3026.9955711364746,103768.00998402596,2,0.0003872452399438231
2020-03-09,103370.54786616708,0.0,103370.54786616708,0,-0.003830295270383144
2020-03-10,100351.26321771822,2990.7623863220215,103342.02560404025,2,-0.00027592252063668443
2020-03-11,103236.63022483073,0.0,103236.63022483073,0,-0.0010198694925270813
2020-03-12,103236.63022483073,0.0,103236.63022483073,0,0.0
2020-03-13,103236.63022483073,0.0,103236.63022483073,0,0.0
2020-03-16,103236.63022483073,0.0,103236.63022483073,0,0.0
2020-03-17,103236.63022483073,0.0,103236.63022483073,0,0.0
2020-03-18,103236.63022483073,0.0,103236.63022483073,0,0.0
2020-03-19,100302.99208740916,2717.6260175704956,103020.61810497966,2,-0.0020923980120296504
2020-03-20,102906.42647942987,0.0,102906.42647942987,0,-0.0011084346769636433
2020-03-23,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-03-24,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-03-25,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-03-26,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-03-27,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-03-30,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-03-31,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-01,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-02,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-03,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-06,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-07,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-08,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-09,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-13,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-14,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-15,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-16,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-17,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-20,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-21,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-22,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-23,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-24,102906.42647942987,0.0,102906.42647942987,0,0.0
2020-04-27,99949.15669045459,2910.6083068847656,102859.76499733936,2,-0.00045343603589065307
2020-04-28,99912.44189672875,3033.1876335144043,102945.62953024315,2,0.0008347727890105627
2020-04-29,96654.42494964876,7424.929908752441,104079.3548584012,3,0.011012855361916873
2020-04-30,101094.63998476959,2860.691581726074,103955.33156649566,1,-0.0011916224122859864
2020-05-01,100778.65343674476,2651.5464477539062,103430.19988449867,2,-0.005051512741903852
2020-05-04,100630.48629134534,2939.9174880981445,103570.40377944348,2,0.0013555411775418857
2020-05-05,97264.51263393364,6180.406235694885,103444.91886962853,3,-0.001211590427726672
2020-05-06,98577.5750835948,4959.596635818481,103537.17171941328,2,0.0008918064878664644
2020-05-07,96487.96165261588,7228.468375205994,103716.43002782187,3,0.0017313425258937976
2020-05-08,79387.7197307925,24627.785583496094,104015.50531428859,6,0.002883586394040849
2020-05-11,75163.00158987581,29320.212034225464,104483.21362410128,7,0.004496524901739241
2020-05-12,92497.81534863764,12560.149963378906,105057.96531201655,3,0.005500899790305436
2020-05-13,94207.95307635103,10841.539947509766,105049.49302386079,3,-8.064393909201772e-05
2020-05-14,94036.28580808651,10833.700618743896,104869.98642683041,3,-0.0017087811836427047
2020-05-15,71925.40496757643,33759.78811645508,105685.1930840315,7,0.00777349826177276
2020-05-18,72979.16787728215,33550.14780044556,106529.3156777277,7,0.007987141519673724
2020-05-19,78818.29767821552,28062.56964111328,106880.8673193288,6,0.0033000459954573014
2020-05-20,69916.35397711371,37625.5693321228,107541.92330923652,8,0.00618497965527065
2020-05-21,69916.35397711371,37529.24887466431,107445.60285177802,8,-0.0008956549640787292
2020-05-22,75471.62849144825,32800.93793106079,108272.56642250904,7,0.00769657900167231
2020-05-26,84640.00083728532,24206.6854763031,108846.68631358842,5,0.005302542555784662
2020-05-27,79967.08873114033,29751.239612579346,109718.32834371968,6,0.008007979476931881
2020-05-28,74681.49231372292,33677.06397819519,108358.55629191811,7,-0.012393299026045579
2020-05-29,78601.52822610759,29598.09623336792,108199.62445947551,6,-0.0014667215758619179
2020-06-01,68820.0428012955,41077.89408111572,109897.93688241122,8,0.015696102749153118
2020-06-02,67781.23615440812,43361.57334327698,111142.8094976851,8,0.011327533988248373
2020-06-03,61453.61618026937,49971.07451438904,111424.6906946584,9,0.0025362072296650773
2020-06-04,79487.2815185745,32973.462215423584,112460.74373399808,6,0.009298235722087878
2020-06-05,67442.11775444829,47778.27553939819,115220.39329384649,8,0.024538780984551867
2020-06-08,87455.93909308822,30198.268432617188,117654.20752570541,5,0.021123120328638167
2020-06-09,78013.17512154409,37307.633808135986,115320.80892968008,7,-0.019832682953693115
2020-06-10,83383.52895175804,29792.49298477173,113176.02193652977,6,-0.018598438677777107
2020-06-11,83721.00705079682,26040.31725692749,109761.32430772431,6,-0.030171564350622404
2020-06-12,78368.85925926658,33769.53344345093,112138.39270271751,7,0.021656702941456052
2020-06-15,78112.24562448465,34611.149755477905,112723.39537996256,7,0.005216792065104059
2020-06-16,73215.26187407953,40710.607246398926,113925.86912047846,8,0.010667472679142254
2020-06-17,73215.26187407953,39565.42643737793,112780.68831145746,8,-0.01005198220441006
2020-06-18,73215.26187407953,39675.345682144165,112890.6075562237,8,0.000974628248966436
2020-06-19,77157.22173631174,34793.244998931885,111950.46673524362,7,-0.008327892296193462
2020-06-22,72157.08943471359,39487.27933502197,111644.36876973556,8,-0.0027342267918539775
2020-06-23,76516.05943402695,34725.40447616577,111241.46391019272,7,-0.0036088238393271466
2020-06-24,80359.77986117401,29412.920532226562,109772.70039340058,6,-0.013203381771188294
2020-06-25,75093.0992223119,35407.4839553833,110500.5831776952,7,0.006630817878088502
2020-06-26,75201.929352542,33824.99625015259,109026.9256026946,7,-0.013336197263600136
2020-06-29,70730.81263843658,38592.623027801514,109323.43566623809,8,0.0027196040051977732
2020-06-30,70730.81263843658,39639.282665252686,110370.09530368926,8,0.009573973147410042
2020-07-01,70730.81263843658,39771.176708221436,110501.98934665801,8,0.0011950161192288977
2020-07-02,81002.4927678965,29729.72522354126,110732.21799143776,6,0.0020834796381583587
2020-07-06,77541.05925355775,34270.70757293701,111811.76682649476,7,0.009749184606240524
2020-07-07,77717.94239285053,33518.44501495361,111236.38740780414,7,-0.005145964821246962
2020-07-08,77978.60541043428,33585.13624572754,111563.74165616182,7,0.00294287018830941
2020-07-09,87997.86992160807,23504.27452468872,111502.14444629679,5,-0.0005521257081433362
2020-07-10,78808.16440742032,32969.433586120605,111777.59799354093,7,0.0024703878890579567
2020-07-13,87901.03889637985,22907.880485534668,110808.91938191451,5,-0.008666124778261786
2020-07-14,83457.54320751187,27570.04553604126,111027.58874355313,6,0.0019733913376138723
2020-07-15,82875.22871081781,28780.4344329834,111655.66314380121,6,0.005656921917837732
2020-07-16,82037.00738311348,29092.662048339844,111129.66943145332,6,-0.004710855656917867
2020-07-17,82939.5899404119,28924.38007736206,111863.97001777396,6,0.006607601642993899
2020-07-20,74139.26960225088,37594.3561706543,111733.62577290517,8,-0.0011652031020182863
2020-07-21,83378.55341572744,28554.453022003174,111933.00643773061,6,0.0017844284873622662
2020-07-22,74313.55431149824,37823.28642272949,112136.84073422774,8,0.0018210383423455934
2020-07-23,89985.38671631609,22921.840171813965,112907.22688813006,5,0.006870054023799366
2020-07-24,85259.7074741213,27033.42824935913,112293.13572348043,6,-0.005438900428030857
2020-07-27,76317.25608875255,36376.99015426636,112694.2462430189,8,0.0035719950017800706
2020-07-28,85798.28067603664,26396.220542907715,112194.50121894435,6,-0.004434521199927821
2020-07-29,81661.71075342444,31344.338401794434,113006.04915521888,7,0.007233402060327521
2020-07-30,77197.87372108102,35638.1647605896,112836.03848167062,8,-0.0015044386988057878
2020-07-31,90633.53767809756,21946.2301902771,112579.76786837466,5,-0.0022711769816129435
2020-08-03,87112.95257071618,25866.438438415527,112979.39100913171,6,0.0035496887968740065
2020-08-04,100688.28772151662,12536.025188446045,113224.31290996267,3,0.0021678458225284913
2020-08-05,101910.31403592574,11329.91665649414,113240.23069241988,3,0.0001405862579166861
2020-08-06,99466.3920306302,13570.92957687378,113037.32160750398,4,-0.0017918462694325177
2020-08-07,101742.0705562824,11196.750854492188,112938.82141077459,3,-0.0008713953526907625
2020-08-10,84508.57729697524,28873.161947250366,113381.73924422561,7,0.0039217500937083205
2020-08-11,94056.15554574759,19551.56298828125,113607.71853402884,5,0.0019930836421240272
2020-08-12,86987.05402618342,26765.46630859375,113752.52033477717,6,0.0012745771380398008
2020-08-13,82389.9679761485,31405.275608062744,113795.24358421125,7,0.0003755806843517284
2020-08-14,77987.66560993806,35765.3342590332,113752.99986897127,8,-0.0003712256673427117
2020-08-17,77987.66560993806,35869.0729637146,113856.73857365266,8,0.0009119645618216321
2020-08-18,77987.66560993806,35907.831407547,113895.49701748506,8,0.0003404141407696848
2020-08-19,87102.1223054947,26874.542951583862,113976.66525707857,6,0.0007126553877809805
2020-08-20,82489.43575710487,31409.55209159851,113898.98784870339,7,-0.0006815202761019101
2020-08-21,82713.65100531075,30602.26474761963,113315.91575293038,7,-0.005119203487106705
2020-08-24,87660.32760326534,27058.147226333618,114718.47482959896,6,0.012377423483270089
2020-08-25,77650.00652914883,36910.843673706055,114560.85020285488,8,-0.0013740125727630392
2020-08-26,77650.00652914883,37352.158420562744,115002.16494971157,8,0.0038522300251373487
2020-08-27,82323.87067361032,32713.952226638794,115037.82290024911,7,0.0003100632979660123
2020-08-28,87519.72569054834,28667.157035827637,116186.88272637597,6,0.009988539396501128
2020-08-31,78455.9972408616,37823.11891555786,116279.11615641946,8,0.0007938368590256761
2020-09-01,93315.54827265548,23388.501600265503,116704.04987292098,5,0.003654428503996332
2020-09-02,78702.80951465163,37834.82085800171,116537.63037265334,8,-0.001425995931151114
2020-09-03,98030.22853312458,18352.512420654297,116382.74095377888,4,-0.0013290936016046029
2020-09-04,84843.4925775325,32219.085008621216,117062.57758615371,7,0.005841387020132371
2020-09-08,80332.83906748892,35221.2314491272,115554.07051661612,8,-0.012886330547671299
2020-09-09,84422.77440510053,31821.427421569824,116244.20182667035,7,0.00597236693583203
2020-09-10,80189.76579737314,35841.4033946991,116031.16919207224,8,-0.001832630197898033
2020-09-11,84298.31707998335,31545.91031074524,115844.22739072859,7,-0.0016111343412751333
2020-09-14,79908.37517584895,36353.98264122009,116262.35781706905,8,0.0036094196125124878
2020-09-15,84145.74652382128,31977.69113922119,116123.43766304247,7,-0.0011948850568226366
2020-09-16,79635.1326320228,36043.98663330078,115679.11926532358,8,-0.003826259424115408
2020-09-17,79635.1326320228,35658.770248413086,115293.90288043588,8,-0.0033300425118569787
2020-09-18,83890.80722036246,31098.52473449707,114989.33195485953,7,-0.002641691520254952
2020-09-21,96976.45733717285,17453.885887145996,114430.34322431884,4,-0.004861222524191411
2020-09-22,79306.43684567281,34962.428215026855,114268.86506069967,8,-0.0014111481191891873
2020-09-23,92848.44961882148,20877.031925201416,113725.4815440229,5,-0.00475530684922898
2020-09-24,93485.37557824567,20605.41411972046,114090.78969796613,5,0.003212192632500166
2020-09-25,90006.77835225615,24467.31131362915,114474.0896658853,6,0.0033596048281714364
2020-09-28,81169.53338398313,33829.114782333374,114998.6481663165,8,0.004582333888500267
2020-09-29,85713.03052405009,29223.023780822754,114936.05430487284,7,-0.0005443008456337273
2020-09-30,81503.94720146338,33650.13092422485,115154.07812568823,8,0.001896914089612567
2020-10-01,85135.31188129038,30036.67650604248,115171.98838733287,7,0.00015553302094151178
2020-10-02,80689.74768825674,33925.08485412598,114614.83254238272,8,-0.00483759855804855
2020-10-05,85928.64597235141,30010.530855178833,115939.17682753025,7,0.011554737338710597
2020-10-06,90482.60144781678,25077.70933532715,115560.31078314393,6,-0.0032678000202633894
2020-10-07,81612.36445295735,34700.584159851074,116312.94861280842,8,0.006512943973271845
2020-10-08,85409.02822946405,31502.63275909424,116911.66098855829,7,0.005147426687142964
2020-10-09,80836.54349247461,36127.74880981445,116964.29230228906,8,0.0004501801897753843
2020-10-12,91252.90362278467,27406.239475250244,118659.14309803491,6,0.014490326597843994
2020-10-13,82482.48503527493,36260.18294143677,118742.6679767117,8,0.0007039059654070368
2020-10-14,92057.38328680844,26857.459232330322,118914.84251913877,6,0.001449980410250129
2020-10-15,89267.42677093884,30522.255798339844,119789.68256927868,7,0.007356861697051187
2020-10-16,95276.59644255256,25973.71174621582,121250.30818876838,6,0.0121932506052429
2020-10-19,95187.9633377261,25778.929885864258,120966.89322359036,6,-0.0023374370705663283
2020-10-20,86249.65767917488,34713.61633300781,120963.2740121827,8,-2.9919024215785406e-05
2020-10-21,90458.8548488875,30132.832176208496,120591.68702509599,7,-0.003071899220000285
2020-10-22,95222.80064668754,25668.775482177734,120891.57612886527,6,0.002486814067928833
2020-10-23,90999.25841010014,30467.94900894165,121467.20741904179,7,0.004761550048474117
2020-10-26,95060.5318622028,25560.293563842773,120620.82542604557,6,-0.006967987582659596
2020-10-27,99317.94431394688,21409.82339477539,120727.76770872227,5,0.0008865988298369931
2020-10-28,107670.42965453178,12401.77619934082,120072.2058538726,3,-0.005430083462085844
2020-10-29,101135.72037137103,18700.94546508789,119836.66583645892,5,-0.001961653121458684
2020-10-30,104843.97073021067,14523.600379943848,119367.57111015452,4,-0.00391445074869301
2020-11-02,95675.36451821418,24651.863941192627,120327.2284594068,6,0.008039514755366017
2020-11-03,91739.1638627305,29497.944206237793,121237.10806896829,7,0.007561710023666235
2020-11-04,99629.41431092487,21890.60186290741,121520.01617383228,5,0.0023335108315438724
2020-11-05,90241.29842217884,31121.164620399475,121362.46304257831,7,-0.001296519999047674
