year_month,start_value,end_value,min_value,max_value,return_pct,max_dd_month
2023-01,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-02,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-03,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-04,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-05,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-06,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-07,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-08,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-09,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-10,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-11,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2023-12,100000.0,100000.0,100000.0,100000.0,0.0,0.0
2024-01,100000.0,111195.46150759504,99562.65288486567,111517.50547943593,11.19546150759505,-10.720157829189214
2024-02,113278.58432537018,125673.70389571799,113278.58432537018,125673.70389571799,10.942156140250937,-9.8629380579354
2024-03,128191.59666457785,145118.62268593512,128191.59666457785,147152.02934029303,13.204473976284103,-12.884927758535126
2024-04,144785.42080584957,138419.29185353167,134653.21209109802,148181.15057787308,-4.396940601398381,-9.129324771753456
2024-05,136182.64123045283,142642.88523474726,136182.64123045283,147618.71849530743,4.743808715945064,-7.747037355034436
2024-06,144169.7869757751,145397.83068448282,141721.2086504607,149064.05145599318,0.8518037894542196,-4.92596486799518
2024-07,145740.09197018718,144698.3647677948,143306.29632831115,155241.55723845234,-0.7147842356278189,-7.688186798982266
2024-08,141990.87044536928,142166.07450363532,134537.93345304186,142166.07450363532,0.12339107276158057,-5.365654975863032
2024-09,140831.34524053504,146976.09898882604,138065.70185463177,146976.09898882604,4.363200349890839,-6.062480359389378
2024-10,147364.38766611676,143552.2026673364,143552.2026673364,149631.9852651463,-2.586910622814542,-4.063157076367463
2024-11,143394.20239267818,156521.47603494814,142566.8195420312,156521.47603494814,9.154675309899595,-8.915489967524415
2024-12,156144.63956720522,143852.39256521454,143852.39256521454,157784.43678911956,-7.872346457785406,-8.829796212743924
2025-01,143941.4079388914,152637.1796729208,143941.4079388914,153944.49753463757,6.041188465879865,-6.497854587816921
2025-02,151783.90676177834,139486.20695116854,138940.4796318631,162403.05765225587,-8.102110475987933,-14.44712824966129
2025-03,138724.02134769014,129466.7847715777,128883.178443037,138913.79071967353,-6.673131651014219,-7.22074620861668
2025-04,129200.21705696148,131742.80219405584,125336.52134916876,134222.05225905988,1.9679418463928622,-6.620023133561759
2025-05,132124.20282267677,140077.95792802816,132124.20282267677,143041.9442575908,6.019907734865271,-7.632545468798502
2025-06,140336.84366449362,152060.02520441526,140336.84366449362,152060.02520441526,8.353602114601145,-7.7095749025176685
2025-07,150249.49338216239,165461.56285148003,150249.49338216239,165461.56285148003,10.124539608679717,-9.1937179893388
2025-08,163332.92063192936,164741.93740946037,163332.92063192936,169009.4359367968,0.8626655129165384,-3.3586972664592762
2025-09,164086.04727378953,167955.23767795035,163943.85901643062,169155.81913465052,2.3580252364205023,-3.081159220464713
2025-10,167586.82452456854,168090.80611834262,159606.15953520223,169025.80094973944,0.3007286492860306,-5.572901510662376
2025-11,167243.33614406385,162803.02804295864,162108.45233357995,167243.33614406385,-2.654998521005536,-3.070306972387049
