date,regime,regime_changed,signals_generated,buy_orders,sell_orders,positions_open,portfolio_value,cash,exposure_pct
2023-01-03,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-04,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-05,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-06,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-09,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-10,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-11,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-12,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-13,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-17,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-18,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-19,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-20,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-23,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-24,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-25,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-26,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-27,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-30,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-01-31,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-01,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-02,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-03,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-06,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-07,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-08,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-09,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-10,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-13,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-14,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-15,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-16,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-17,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-21,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-22,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-23,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-24,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-27,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-02-28,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-01,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-02,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-03,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-06,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-07,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-08,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-09,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-10,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-13,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-14,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-15,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-16,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-17,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-20,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-21,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-22,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-23,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-24,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-27,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-28,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-29,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-30,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-03-31,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-03,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-04,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-05,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-06,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-10,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-11,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-12,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-13,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-14,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-17,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-18,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-19,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-20,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-21,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-24,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-25,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-26,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-27,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-04-28,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-01,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-02,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-03,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-04,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-05,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-08,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-09,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-10,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-11,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-12,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-15,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-16,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-17,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-18,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-19,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-22,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-23,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-24,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-25,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-26,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-30,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-05-31,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-01,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-02,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-05,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-06,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-07,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-08,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-09,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-12,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-13,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-14,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-15,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-16,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-20,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-21,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-22,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-23,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-26,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-27,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-28,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-29,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-06-30,NEUTRAL_BULLISH,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-03,NEUTRAL_BEARISH,True,0,0,0,0,100000.0,100000.0,0.0
2023-07-05,BULL_WEAK,True,0,0,0,0,100000.0,100000.0,0.0
2023-07-06,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-07,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-10,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-11,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-12,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-13,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-14,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-17,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-18,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-19,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-20,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-21,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-24,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-25,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-26,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-27,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-28,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-07-31,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-08-01,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-08-02,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-08-03,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-08-04,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-08-07,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-08-08,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-08-09,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-08-10,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
2023-08-11,BULL_WEAK,False,0,0,0,0,100000.0,100000.0,0.0
